Precinct,County,Registered Voters,Melba Scoggins (I) (Rep)_Election Day Votes,Melba Scoggins (I) (Rep)_Advanced Voting Votes,Melba Scoggins (I) (Rep)_Absentee by Mail Votes,Melba Scoggins (I) (Rep)_Provisional Votes,Melba Scoggins (I) (Rep)_Choice Total,Total,
Adairsville,Bartow,6995,906,2696,658,1,4261,4261,
Allatoona,Bartow,4729,633,1299,379,0,2311,2311,
Cartersville East,Bartow,6805,735,2131,806,1,3673,3673,
Cartersville West,Bartow,8129,714,3230,1044,1,4989,4989,
Cassville,Bartow,4588,514,1494,810,2,2820,2820,
Center,Bartow,4007,741,1390,481,2,2614,2614,
Emerson,Bartow,3122,638,812,328,1,1779,1779,
Euharlee,Bartow,5322,957,1890,501,1,3349,3349,
Folsom,Bartow,1448,425,385,136,0,946,946,
Hamilton Crossing,Bartow,6598,807,2425,473,1,3706,3706,
Kingston,Bartow,2674,693,724,276,0,1693,1693,
Mission Road,Bartow,4012,504,1448,445,3,2400,2400,
Pine Log,Bartow,2132,681,560,233,0,1474,1474,
Taylorsville,Bartow,2829,824,834,294,0,1952,1952,
White,Bartow,2723,692,793,278,1,1764,1764,
Zena Drive,Bartow,6431,688,1761,633,4,3086,3086,
Woodland,Bartow,1865,341,573,223,1,1138,1138,
