Precinct,County,Registered Voters,Terrell Moody (I) (Rep)_Election Day Votes,Terrell Moody (I) (Rep)_Advanced Voting Votes,Terrell Moody (I) (Rep)_Absentee by Mail Votes,Terrell Moody (I) (Rep)_Provisional Votes,Terrell Moody (I) (Rep)_Choice Total,Total,
Concord,Pike,0,322,591,127,1,1041,1041,
Hollonville,Pike,0,356,809,153,0,1318,1318,
Meansville,Pike,0,299,575,91,0,965,965,
Molena,Pike,0,373,576,129,1,1079,1079,
Second District,Pike,0,401,1289,238,1,1929,1929,
Lifsey Springs,Pike,0,225,500,110,0,835,835,
Williamson,Pike,0,309,869,146,0,1324,1324,
Zebulon,Pike,0,235,1044,229,0,1508,1508,
