Precinct,County,Registered Voters,Beth Camp (Rep)_Election Day Votes,Beth Camp (Rep)_Advanced Voting Votes,Beth Camp (Rep)_Absentee by Mail Votes,Beth Camp (Rep)_Provisional Votes,Beth Camp (Rep)_Choice Total,Chris Benton (Dem)_Election Day Votes,Chris Benton (Dem)_Advanced Voting Votes,Chris Benton (Dem)_Absentee by Mail Votes,Chris Benton (Dem)_Provisional Votes,Chris Benton (Dem)_Choice Total,Total,
Concord,Pike,0,285,530,85,0,900,48,83,79,0,210,1110,
Hollonville,Pike,0,347,795,135,0,1277,13,46,42,0,101,1378,
Meansville,Pike,0,279,551,78,0,908,32,50,22,0,104,1012,
Molena,Pike,0,349,542,103,1,995,51,66,44,2,163,1158,
Second District,Pike,0,376,1228,205,1,1810,35,106,68,0,209,2019,
Lifsey Springs,Pike,0,209,478,83,0,770,18,33,47,0,98,868,
Williamson,Pike,0,290,840,123,0,1253,29,65,48,0,142,1395,
Zebulon,Pike,0,218,931,144,0,1293,30,168,126,0,324,1617,
