Precinct,County,Registered Voters,"Doyle Jason Proctor, II (I) (Rep)_Election Day Votes","Doyle Jason Proctor, II (I) (Rep)_Advanced Voting Votes","Doyle Jason Proctor, II (I) (Rep)_Absentee by Mail Votes","Doyle Jason Proctor, II (I) (Rep)_Provisional Votes","Doyle Jason Proctor, II (I) (Rep)_Choice Total",Total,
Meansville,Pike,0,294,561,89,0,944,944,
Second District,Pike,0,200,591,115,0,906,906,
Lifsey Springs,Pike,0,72,198,31,0,301,301,
Zebulon,Pike,0,48,200,36,0,284,284,
