Precinct,County,Registered Voters,J. Briar Johnson (I) (Rep)_Election Day Votes,J. Briar Johnson (I) (Rep)_Advanced Voting Votes,J. Briar Johnson (I) (Rep)_Absentee by Mail Votes,J. Briar Johnson (I) (Rep)_Provisional Votes,J. Briar Johnson (I) (Rep)_Choice Total,Total,
Concord,Pike,0,315,579,116,0,1010,1010,
Hollonville,Pike,0,342,801,151,0,1294,1294,
Meansville,Pike,0,293,561,89,0,943,943,
Molena,Pike,0,367,567,125,1,1060,1060,
Second District,Pike,0,391,1261,235,1,1888,1888,
Lifsey Springs,Pike,0,222,490,106,0,818,818,
Williamson,Pike,0,305,861,141,0,1307,1307,
Zebulon,Pike,0,233,1021,221,0,1475,1475,
