Precinct,County,Registered Voters,Donna Minter Chapman (I) (Rep)_Election Day Votes,Donna Minter Chapman (I) (Rep)_Advanced Voting Votes,Donna Minter Chapman (I) (Rep)_Absentee by Mail Votes,Donna Minter Chapman (I) (Rep)_Provisional Votes,Donna Minter Chapman (I) (Rep)_Choice Total,Total,
Concord,Pike,0,316,587,125,0,1028,1028,
Hollonville,Pike,0,348,815,153,0,1316,1316,
Meansville,Pike,0,298,571,90,0,959,959,
Molena,Pike,0,366,575,130,0,1071,1071,
Second District,Pike,0,397,1278,238,1,1914,1914,
Lifsey Springs,Pike,0,222,488,112,0,822,822,
Williamson,Pike,0,305,865,147,0,1317,1317,
Zebulon,Pike,0,234,1038,228,0,1500,1500,
