Precinct,County,Registered Voters,Rodney Hugh Hilley_Election Day Votes,Rodney Hugh Hilley_Advanced Voting Votes,Rodney Hugh Hilley_Absentee by Mail Votes,Rodney Hugh Hilley_Provisional Votes,Rodney Hugh Hilley_Choice Total,Total,
Concord,Pike,0,304,560,119,0,983,983,
Hollonville,Pike,0,327,763,138,0,1228,1228,
Meansville,Pike,0,284,542,85,0,911,911,
Molena,Pike,0,355,540,124,0,1019,1019,
Second District,Pike,0,365,1192,236,1,1794,1794,
Lifsey Springs,Pike,0,220,480,101,0,801,801,
Williamson,Pike,0,287,814,138,0,1239,1239,
Zebulon,Pike,0,231,991,222,0,1444,1444,
