Precinct,County,Registered Voters,Karen Krupp (I) (Rep)_Election Day Votes,Karen Krupp (I) (Rep)_Advanced Voting Votes,Karen Krupp (I) (Rep)_Absentee by Mail Votes,Karen Krupp (I) (Rep)_Provisional Votes,Karen Krupp (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,291,859,164,0,1314,1314,
Danielsiding,Bryan,2291,271,934,222,0,1427,1427,
Ellabell,Bryan,2341,404,858,154,1,1417,1417,
Black Creek,Bryan,2995,394,983,189,1,1567,1567,
Ways Station,Bryan,1974,222,609,149,1,981,981,
RH Rec Complex,Bryan,3264,289,1077,254,1,1621,1621,
JF Gregory Park,Bryan,2885,176,1463,278,0,1917,1917,
Keller,Bryan,4270,384,2035,356,0,2775,2775,
Hwy 144 East,Bryan,5365,392,2355,512,1,3260,3260,
Public Safety Complex,Bryan,2570,266,819,177,1,1263,1263,
