Precinct,County,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,292,857,165,0,1314,1314,
Ellabell,Bryan,2341,407,867,155,1,1430,1430,
Black Creek,Bryan,2995,395,991,192,1,1579,1579,
