Precinct,County,Registered Voters,Bill Cox (I) (Rep)_Election Day Votes,Bill Cox (I) (Rep)_Advanced Voting Votes,Bill Cox (I) (Rep)_Absentee by Mail Votes,Bill Cox (I) (Rep)_Provisional Votes,Bill Cox (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,298,877,168,0,1343,1343,
Danielsiding,Bryan,2291,271,948,224,0,1443,1443,
Ellabell,Bryan,2341,413,870,153,1,1437,1437,
Black Creek,Bryan,2995,398,995,191,1,1585,1585,
Ways Station,Bryan,1974,220,621,151,1,993,993,
RH Rec Complex,Bryan,3264,295,1096,268,1,1660,1660,
JF Gregory Park,Bryan,2885,178,1493,292,0,1963,1963,
Keller,Bryan,4270,383,2057,362,0,2802,2802,
Hwy 144 East,Bryan,5365,399,2376,522,0,3297,3297,
Public Safety Complex,Bryan,2570,267,834,184,1,1286,1286,
