Precinct,County,Registered Voters,Derrick Smith (I) (Rep)_Election Day Votes,Derrick Smith (I) (Rep)_Advanced Voting Votes,Derrick Smith (I) (Rep)_Absentee by Mail Votes,Derrick Smith (I) (Rep)_Provisional Votes,Derrick Smith (I) (Rep)_Choice Total,Total,
RH Rec Complex,Bryan,3264,289,1073,256,1,1619,1619,
JF Gregory Park,Bryan,2885,179,1466,272,0,1917,1917,
