Precinct,County,Registered Voters,Steve Brock (I) (Rep)_Election Day Votes,Steve Brock (I) (Rep)_Advanced Voting Votes,Steve Brock (I) (Rep)_Absentee by Mail Votes,Steve Brock (I) (Rep)_Provisional Votes,Steve Brock (I) (Rep)_Choice Total,Total,
Mt Pleasant,Decatur,564,130,218,44,0,392,392,
Climax,Decatur,975,196,315,64,2,577,577,
Bainbridge-Coliseum,Decatur,5641,46,254,53,0,353,353,
BDGE-Fairgrounds,Decatur,3308,90,464,85,0,639,639,
Attapulgus,Decatur,1812,3,9,2,0,14,14,
