Precinct,County,Registered Voters,Dennis Brinson (I) (Dem)_Election Day Votes,Dennis Brinson (I) (Dem)_Advanced Voting Votes,Dennis Brinson (I) (Dem)_Absentee by Mail Votes,Dennis Brinson (I) (Dem)_Provisional Votes,Dennis Brinson (I) (Dem)_Choice Total,Total,
Bainbridge-Coliseum,Decatur,5641,59,192,76,0,327,327,
BDGE-Fairgrounds,Decatur,3308,187,735,280,1,1203,1203,
