Precinct,County,Registered Voters,Kenny Hollis (I) (Dem)_Election Day Votes,Kenny Hollis (I) (Dem)_Advanced Voting Votes,Kenny Hollis (I) (Dem)_Absentee by Mail Votes,Kenny Hollis (I) (Dem)_Provisional Votes,Kenny Hollis (I) (Dem)_Choice Total,Total,
Mt Pleasant,Decatur,564,109,197,47,0,353,353,
Recovery,Decatur,678,134,146,116,2,398,398,
Kendrick,Decatur,566,118,158,55,1,332,332,
Climax,Decatur,975,194,319,97,2,612,612,
Brinson,Decatur,836,148,293,73,0,514,514,
West Bainbridge,Decatur,2238,185,825,263,1,1274,1274,
Bainbridge-Coliseum,Decatur,5641,459,2272,684,3,3418,3418,
BDGE-Fairgrounds,Decatur,3308,273,1197,376,2,1848,1848,
Attapulgus,Decatur,1812,238,536,307,2,1083,1083,
