Precinct,County,Registered Voters,Cecilia B. Willis (I) (Dem)_Election Day Votes,Cecilia B. Willis (I) (Dem)_Advanced Voting Votes,Cecilia B. Willis (I) (Dem)_Absentee by Mail Votes,Cecilia B. Willis (I) (Dem)_Provisional Votes,Cecilia B. Willis (I) (Dem)_Choice Total,Total,
Mt Pleasant,Decatur,564,112,209,46,0,367,367,
Recovery,Decatur,678,128,144,112,2,386,386,
Kendrick,Decatur,566,118,168,52,1,339,339,
Climax,Decatur,975,195,321,98,1,615,615,
Brinson,Decatur,836,149,285,78,0,512,512,
West Bainbridge,Decatur,2238,186,835,262,1,1284,1284,
Bainbridge-Coliseum,Decatur,5641,459,2311,690,3,3463,3463,
BDGE-Fairgrounds,Decatur,3308,274,1213,375,1,1863,1863,
Attapulgus,Decatur,1812,234,521,312,3,1070,1070,
