Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Mt Pleasant,Decatur,564,97,190,42,0,329,30,40,11,0,81,410,
Recovery,Decatur,678,121,133,100,1,355,56,40,28,1,125,480,
Kendrick,Decatur,566,100,137,49,0,286,39,46,7,0,92,378,
Climax,Decatur,975,175,287,73,2,537,57,85,36,0,178,715,
Brinson,Decatur,836,132,222,70,0,424,42,88,15,0,145,569,
West Bainbridge,Decatur,2238,163,673,206,0,1042,45,237,74,1,357,1399,
Bainbridge-Coliseum,Decatur,5641,390,1908,591,3,2892,110,581,150,0,841,3733,
BDGE-Fairgrounds,Decatur,3308,223,987,321,2,1533,70,293,75,0,438,1971,
Attapulgus,Decatur,1812,178,415,265,2,860,97,166,73,1,337,1197,
