Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Mt Pleasant,Decatur,564,130,231,50,0,411,411,
Recovery,Decatur,678,175,161,98,2,436,436,
Kendrick,Decatur,566,137,176,35,1,349,349,
Climax,Decatur,975,214,350,74,2,640,640,
Brinson,Decatur,836,167,297,67,0,531,531,
West Bainbridge,Decatur,2238,182,751,175,1,1109,1109,
Bainbridge-Coliseum,Decatur,5641,421,2163,570,3,3157,3157,
BDGE-Fairgrounds,Decatur,3308,256,1079,251,1,1587,1587,
Attapulgus,Decatur,1812,211,409,201,1,822,822,
