Precinct,County,Registered Voters,Kyle Foster (Rep)_Election Day Votes,Kyle Foster (Rep)_Advanced Voting Votes,Kyle Foster (Rep)_Absentee by Mail Votes,Kyle Foster (Rep)_Provisional Votes,Kyle Foster (Rep)_Choice Total,Total,
Carnesville,Franklin,2382,264,1121,253,0,1638,1638,
West Franklin,Franklin,1764,340,595,184,0,1119,1119,
Northeast Franklin,Franklin,2935,473,1056,353,2,1884,1884,
Lavonia,Franklin,2355,364,804,251,0,1419,1419,
Canon,Franklin,1244,300,417,127,0,844,844,
Royston,Franklin,2034,329,677,263,0,1269,1269,
Southwest Franklin,Franklin,2432,414,977,234,0,1625,1625,
