Precinct,County,Registered Voters,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_Choice Total,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_Choice Total,Total,
Carnesville,Franklin,2382,252,1088,221,0,1561,27,82,66,0,175,1736,
West Franklin,Franklin,1764,315,568,169,0,1052,36,45,42,0,123,1175,
Northeast Franklin,Franklin,2935,435,999,310,2,1746,51,105,131,0,287,2033,
Lavonia,Franklin,2355,298,731,185,0,1214,94,131,131,0,356,1570,
Canon,Franklin,1244,280,401,110,0,791,32,41,29,0,102,893,
Royston,Franklin,2034,291,621,220,0,1132,59,106,96,0,261,1393,
Southwest Franklin,Franklin,2432,408,936,213,0,1557,18,80,65,0,163,1720,
