Precinct,County,Registered Voters,Fred Dilbeck (I)_Election Day Votes,Fred Dilbeck (I)_Advanced Voting Votes,Fred Dilbeck (I)_Absentee by Mail Votes,Fred Dilbeck (I)_Provisional Votes,Fred Dilbeck (I)_Choice Total,Total,
Carnesville,Franklin,2382,263,1068,249,0,1580,1580,
West Franklin,Franklin,1764,319,560,184,0,1063,1063,
Northeast Franklin,Franklin,2935,455,1007,356,2,1820,1820,
Lavonia,Franklin,2355,357,778,254,0,1389,1389,
Canon,Franklin,1244,282,395,118,0,795,795,
Royston,Franklin,2034,313,646,262,0,1221,1221,
Southwest Franklin,Franklin,2432,398,921,227,0,1546,1546,
