Precinct,County,Registered Voters,"Lauren W. McDonald, III (Rep)_Election Day Votes","Lauren W. McDonald, III (Rep)_Advanced Voting Votes","Lauren W. McDonald, III (Rep)_Absentee by Mail Votes","Lauren W. McDonald, III (Rep)_Provisional Votes","Lauren W. McDonald, III (Rep)_Choice Total",Jason Boskey (Dem)_Election Day Votes,Jason Boskey (Dem)_Advanced Voting Votes,Jason Boskey (Dem)_Absentee by Mail Votes,Jason Boskey (Dem)_Provisional Votes,Jason Boskey (Dem)_Choice Total,Total,calc_participation
03 Browns Bridge,Forsyth,10740.0,745.0,4117.0,1082.0,2.0,5946.0,171.0,896.0,509.0,3.0,1579.0,7525.0,70.1
04 Chestatee,Forsyth,6776.0,583.0,3025.0,635.0,1.0,4244.0,78.0,421.0,280.0,1.0,780.0,5024.0,74.1
05 Coal Mountain,Forsyth,7852.0,409.0,1950.0,381.0,1.0,2741.0,126.0,660.0,320.0,1.0,1107.0,3848.0,49.0
06 Crossroads,Forsyth,7061.0,529.0,3057.0,494.0,1.0,4081.0,79.0,583.0,289.0,0.0,951.0,5032.0,71.3
07 Cumming,Forsyth,6281.0,12.0,227.0,89.0,0.0,328.0,10.0,32.0,34.0,0.0,76.0,404.0,6.4
08 Mashburn,Forsyth,8296.0,494.0,2706.0,812.0,1.0,4013.0,110.0,707.0,513.0,1.0,1331.0,5344.0,64.4
16 Otwell,Forsyth,6333.0,24.0,90.0,12.0,0.0,126.0,3.0,17.0,7.0,0.0,27.0,153.0,2.4
25 Windermere,Forsyth,9714.0,327.0,2278.0,568.0,2.0,3175.0,116.0,764.0,449.0,0.0,1329.0,4504.0,46.4
27 Concord,Forsyth,9858.0,638.0,3173.0,563.0,3.0,4377.0,108.0,733.0,341.0,0.0,1182.0,5559.0,56.4
36 Nichols,Forsyth,6989.0,20.0,94.0,33.0,0.0,147.0,11.0,147.0,79.0,1.0,238.0,385.0,5.5
