Precinct,County,Registered Voters,William L. Consoletti (I)_Election Day Votes,William L. Consoletti (I)_Advanced Voting Votes,William L. Consoletti (I)_Absentee by Mail Votes,William L. Consoletti (I)_Provisional Votes,William L. Consoletti (I)_Choice Total,Total,Joseph Singleton Wells (I)_Election Day Votes,Joseph Singleton Wells (I)_Advanced Voting Votes,Joseph Singleton Wells (I)_Absentee by Mail Votes,Joseph Singleton Wells (I)_Provisional Votes,Joseph Singleton Wells (I)_Choice Total,calc_participation
Wynnton/Britt,Muscogee,5289.0,375.0,1272.0,721.0,0.0,2368.0,2368.0,,,,,,44.8
Carver/Mack,Muscogee,4374.0,242.0,992.0,720.0,0.0,1954.0,1954.0,,,,,,44.7
St John/Belvedere,Muscogee,5341.0,271.0,1536.0,1003.0,2.0,2812.0,2812.0,,,,,,52.6
Britt David,Muscogee,2747.0,342.0,683.0,300.0,0.0,1325.0,1325.0,,,,,,48.2
St Peter,Muscogee,3265.0,392.0,867.0,428.0,1.0,1688.0,1688.0,,,,,,51.7
Cornerstone,Muscogee,6684.0,673.0,1880.0,841.0,0.0,3394.0,3394.0,,,,,,50.8
Columbus Tech,Muscogee,4464.0,398.0,810.0,391.0,0.0,1599.0,1599.0,,,,,,35.8
St Mark/Heiferhorn,Muscogee,6492.0,554.0,2171.0,929.0,9.0,3663.0,3663.0,,,,,,56.4
Wynnbrook,Muscogee,2692.0,237.0,858.0,510.0,0.0,1605.0,1605.0,,,,,,59.6
Cusseta Rd,Muscogee,6169.0,486.0,1054.0,721.0,2.0,2263.0,2263.0,,,,,,36.7
Our Lady of Lourdes,Muscogee,10204.0,688.0,1624.0,1217.0,3.0,3532.0,3532.0,,,,,,34.6
Mt Pilgrim,Muscogee,6022.0,411.0,1683.0,1023.0,0.0,3117.0,3117.0,,,,,,51.8
Faith Tabernacle,Muscogee,4461.0,349.0,1268.0,742.0,0.0,2359.0,2359.0,,,,,,52.9
Canaan,Muscogee,7078.0,455.0,1787.0,1047.0,0.0,3289.0,3289.0,,,,,,46.5
Holsey/Buena Vista,Muscogee,7613.0,463.0,2163.0,1171.0,0.0,3797.0,3797.0,,,,,,49.9
Gentian/Reese,Muscogee,5612.0,519.0,1460.0,726.0,0.0,2705.0,2705.0,,,,,,48.2
St Paul/Clubview,Muscogee,5677.0,496.0,1794.0,822.0,0.0,3112.0,3112.0,,,,,,54.8
Moon/Morningside,Muscogee,5415.0,553.0,1410.0,734.0,1.0,2698.0,2698.0,,,,,,49.8
St Andrews/Midland,Muscogee,7959.0,781.0,2348.0,1186.0,0.0,4315.0,4315.0,,,,,,54.2
Salvation Army,Muscogee,3192.0,332.0,868.0,406.0,0.0,1606.0,1606.0,,,,,,50.3
First African,Muscogee,1955.0,131.0,330.0,249.0,4.0,714.0,714.0,,,,,,36.5
Epworth UMC,Muscogee,4512.0,438.0,936.0,485.0,0.0,1859.0,1859.0,,,,,,41.2
Marianna Gallops,Muscogee,3095.0,247.0,553.0,326.0,4.0,1130.0,1130.0,,,,,,36.5
Edgewood Baptist,Muscogee,3235.0,282.0,846.0,446.0,4.0,1578.0,1578.0,,,,,,48.8
Psalmond/Mathews,Muscogee,7331.0,486.0,2551.0,1206.0,1.0,4244.0,4244.0,,,,,,57.9
Pineknot,Marion,971.0,,,,,,531.0,254.0,216.0,61.0,0.0,531.0,54.7
Buena Vista,Marion,2343.0,,,,,,1442.0,227.0,857.0,358.0,0.0,1442.0,61.5
Tazewell,Marion,320.0,,,,,,229.0,107.0,93.0,29.0,0.0,229.0,71.6
Brantley,Marion,396.0,,,,,,261.0,75.0,144.0,42.0,0.0,261.0,65.9
Fort Perry,Marion,883.0,,,,,,471.0,166.0,221.0,84.0,0.0,471.0,53.3
