Precinct,County,Registered Voters,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_Choice Total,Total,calc_participation
Quitman,Brooks,4117.0,291.0,850.0,291.0,1.0,1433.0,1433.0,34.8
Barwick,Brooks,350.0,107.0,70.0,28.0,1.0,206.0,206.0,58.9
Dixie,Brooks,1066.0,157.0,247.0,84.0,0.0,488.0,488.0,45.8
Briggs,Brooks,2317.0,424.0,685.0,189.0,0.0,1298.0,1298.0,56.0
Nankin,Brooks,735.0,174.0,219.0,49.0,0.0,442.0,442.0,60.1
Morven,Brooks,1962.0,349.0,570.0,175.0,0.0,1094.0,1094.0,55.8
Pavo,Brooks,607.0,168.0,120.0,56.0,0.0,344.0,344.0,56.7
Hahira Train Depot,Lowndes,5526.0,473.0,1052.0,184.0,4.0,1713.0,1713.0,31.0
Trinity,Lowndes,10900.0,76.0,194.0,53.0,1.0,324.0,324.0,3.0
Northside,Lowndes,17467.0,468.0,3337.0,830.0,17.0,4652.0,4652.0,26.6
Rainwater,Lowndes,9877.0,475.0,2612.0,573.0,25.0,3685.0,3685.0,37.3
Clyattville,Lowndes,4755.0,123.0,308.0,71.0,3.0,505.0,505.0,10.6
Barwick,Thomas,630.0,135.0,234.0,53.0,0.0,422.0,422.0,67.0
Boston,Thomas,1632.0,218.0,457.0,135.0,0.0,810.0,810.0,49.6
Central,Thomas,3523.0,233.0,1498.0,315.0,0.0,2046.0,2046.0,58.1
Fire Station #2,Thomas,1404.0,7.0,41.0,8.0,0.0,56.0,56.0,4.0
Gatlin Creek,Thomas,2069.0,233.0,911.0,193.0,0.0,1337.0,1337.0,64.6
Jerger,Thomas,1898.0,133.0,801.0,241.0,0.0,1175.0,1175.0,61.9
Pavo,Thomas,673.0,193.0,195.0,52.0,0.0,440.0,440.0,65.4
Remington Esc,Thomas,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patten,Thomas,397.0,89.0,161.0,25.0,0.0,275.0,275.0,69.3
