Precinct,County,Registered Voters,"William K. Boddie, Jr. (I) (Dem)_Election Day Votes","William K. Boddie, Jr. (I) (Dem)_Advanced Voting Votes","William K. Boddie, Jr. (I) (Dem)_Absentee by Mail Votes","William K. Boddie, Jr. (I) (Dem)_Provisional Votes","William K. Boddie, Jr. (I) (Dem)_Choice Total",Total,calc_participation
CP011,Fulton,1353.0,90.0,400.0,156.0,8.0,654.0,654.0,48.3
CP012,Fulton,1469.0,82.0,528.0,209.0,5.0,824.0,824.0,56.1
EP03B,Fulton,1547.0,77.0,593.0,340.0,4.0,1014.0,1014.0,65.5
EP04A,Fulton,5020.0,532.0,1315.0,659.0,17.0,2523.0,2523.0,50.3
EP04B,Fulton,2624.0,148.0,1063.0,270.0,4.0,1485.0,1485.0,56.6
EP04C,Fulton,1318.0,0.0,396.0,39.0,4.0,439.0,439.0,33.3
SC05B,Fulton,3646.0,182.0,1762.0,490.0,7.0,2441.0,2441.0,67.0
SC05D,Fulton,2808.0,181.0,1284.0,359.0,2.0,1826.0,1826.0,65.0
SC05E,Fulton,688.0,43.0,253.0,133.0,3.0,432.0,432.0,62.8
SC08C,Fulton,91.0,6.0,45.0,17.0,0.0,68.0,68.0,74.7
SC15,Fulton,4522.0,274.0,1982.0,820.0,6.0,3082.0,3082.0,68.2
SC15A,Fulton,2482.0,136.0,1288.0,105.0,0.0,1529.0,1529.0,61.6
SC17A,Fulton,60.0,1.0,32.0,9.0,0.0,42.0,42.0,70.0
SC18B,Fulton,915.0,41.0,461.0,160.0,0.0,662.0,662.0,72.3
SC18C,Fulton,2100.0,78.0,1000.0,409.0,0.0,1487.0,1487.0,70.8
SC19A,Fulton,213.0,6.0,84.0,43.0,1.0,134.0,134.0,62.9
SC20,Fulton,2562.0,110.0,1459.0,361.0,27.0,1957.0,1957.0,76.4
UC01E,Fulton,512.0,42.0,267.0,71.0,0.0,380.0,380.0,74.2
UC02B,Fulton,32.0,2.0,11.0,3.0,0.0,16.0,16.0,50.0
UC02C,Fulton,3614.0,0.0,6.0,0.0,1.0,7.0,7.0,0.2
Deer Lick,Douglas,3042.0,204.0,779.0,375.0,0.0,1358.0,1358.0,44.6
Beulah Baptist Church,Douglas,3500.0,334.0,802.0,452.0,1.0,1589.0,1589.0,45.4
Chestnut Log,Douglas,5177.0,65.0,174.0,99.0,0.0,338.0,338.0,6.5
Factory Shoals,Douglas,4359.0,269.0,1547.0,783.0,0.0,2599.0,2599.0,59.6
Boundary Waters,Douglas,4220.0,274.0,1657.0,665.0,0.0,2596.0,2596.0,61.5
