Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,calc_participation
Concord,Pike,0.0,283.0,521.0,79.0,0.0,883.0,50.0,88.0,82.0,0.0,220.0,1103.0,
Hollonville,Pike,0.0,344.0,790.0,133.0,0.0,1267.0,13.0,45.0,43.0,0.0,101.0,1368.0,
Meansville,Pike,0.0,279.0,549.0,81.0,0.0,909.0,27.0,48.0,20.0,0.0,95.0,1004.0,
Molena,Pike,0.0,350.0,532.0,99.0,1.0,982.0,45.0,65.0,46.0,2.0,158.0,1140.0,
Second District,Pike,0.0,372.0,1213.0,198.0,1.0,1784.0,38.0,106.0,75.0,0.0,219.0,2003.0,
Lifsey Springs,Pike,0.0,208.0,477.0,90.0,0.0,775.0,17.0,35.0,42.0,0.0,94.0,869.0,
Williamson,Pike,0.0,287.0,835.0,123.0,0.0,1245.0,28.0,66.0,49.0,0.0,143.0,1388.0,
Zebulon,Pike,0.0,213.0,915.0,139.0,0.0,1267.0,32.0,177.0,130.0,0.0,339.0,1606.0,
Cataula,Harris,2898.0,629.0,817.0,266.0,1.0,1713.0,102.0,225.0,197.0,0.0,524.0,2237.0,77.2
Ellerslie,Harris,4211.0,842.0,1176.0,395.0,0.0,2413.0,127.0,433.0,360.0,0.0,920.0,3333.0,79.1
Goodman,Harris,1649.0,255.0,345.0,149.0,0.0,749.0,134.0,129.0,132.0,1.0,396.0,1145.0,69.4
Hamilton,Harris,2739.0,433.0,767.0,174.0,4.0,1378.0,143.0,289.0,231.0,1.0,664.0,2042.0,74.6
Lower 19th,Harris,2570.0,667.0,691.0,244.0,2.0,1604.0,59.0,158.0,177.0,0.0,394.0,1998.0,77.7
Mulberry Grove,Harris,2908.0,580.0,1001.0,292.0,0.0,1873.0,53.0,177.0,149.0,0.0,379.0,2252.0,77.4
Pine Mountain Valley,Harris,1121.0,410.0,215.0,81.0,2.0,708.0,45.0,39.0,44.0,0.0,128.0,836.0,74.6
Skinner,Harris,894.0,265.0,112.0,85.0,1.0,463.0,94.0,45.0,77.0,1.0,217.0,680.0,76.1
Upper 19th,Harris,1628.0,428.0,514.0,157.0,2.0,1101.0,52.0,76.0,57.0,0.0,185.0,1286.0,79.0
Valley Plains,Harris,785.0,244.0,113.0,52.0,0.0,409.0,69.0,38.0,60.0,0.0,167.0,576.0,73.4
Waverly Hall,Harris,2853.0,519.0,640.0,251.0,2.0,1412.0,149.0,245.0,272.0,1.0,667.0,2079.0,72.9
Whitesville,Harris,1370.0,409.0,304.0,119.0,0.0,832.0,85.0,67.0,95.0,0.0,247.0,1079.0,78.8
Chalybeate,Meriwether,451.0,169.0,107.0,28.0,0.0,304.0,15.0,7.0,23.0,0.0,45.0,349.0,77.4
Gill I,Meriwether,1662.0,283.0,342.0,139.0,0.0,764.0,139.0,121.0,130.0,1.0,391.0,1155.0,69.5
Gill II,Meriwether,1000.0,43.0,83.0,28.0,0.0,154.0,141.0,142.0,203.0,0.0,486.0,640.0,64.0
Odessadale,Meriwether,296.0,35.0,84.0,25.0,0.0,144.0,29.0,14.0,37.0,1.0,81.0,225.0,76.0
Greenville,Meriwether,2009.0,111.0,458.0,127.0,0.0,696.0,99.0,333.0,182.0,0.0,614.0,1310.0,65.2
Lone Oak,Meriwether,1263.0,157.0,267.0,61.0,0.0,485.0,92.0,150.0,167.0,0.0,409.0,894.0,70.8
Luthersville,Meriwether,2760.0,384.0,616.0,166.0,0.0,1166.0,158.0,268.0,230.0,0.0,656.0,1822.0,66.0
Alvaton,Meriwether,1528.0,249.0,350.0,116.0,1.0,716.0,112.0,121.0,125.0,2.0,360.0,1076.0,70.4
