Precinct,County,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,calc_participation
Ashburn,Turner,3509.0,157.0,829.0,144.0,0.0,1130.0,268.0,597.0,218.0,1.0,1084.0,2214.0,63.1
Sycamore,Turner,1609.0,125.0,816.0,84.0,1.0,1026.0,26.0,86.0,25.0,0.0,137.0,1163.0,72.3
Rebecca,Turner,464.0,113.0,149.0,28.0,0.0,290.0,10.0,14.0,14.0,0.0,38.0,328.0,70.7
Irwinville,Irwin,1796.0,302.0,708.0,158.0,0.0,1168.0,24.0,51.0,19.0,0.0,94.0,1262.0,70.3
Ocilla,Irwin,3642.0,239.0,1126.0,170.0,3.0,1538.0,179.0,409.0,192.0,2.0,782.0,2320.0,63.7
Holt,Irwin,675.0,112.0,270.0,51.0,0.0,433.0,24.0,34.0,30.0,0.0,88.0,521.0,77.2
East,Ben Hill,3956.0,152.0,913.0,149.0,0.0,1214.0,161.0,663.0,366.0,0.0,1190.0,2404.0,60.8
West,Ben Hill,5898.0,272.0,2194.0,385.0,0.0,2851.0,185.0,669.0,330.0,0.0,1184.0,4035.0,68.4
Ambrose,Coffee,2053.0,351.0,620.0,93.0,0.0,1064.0,68.0,132.0,43.0,0.0,243.0,1307.0,63.7
Broxton,Coffee,2398.0,218.0,444.0,37.0,0.0,699.0,95.0,91.0,30.0,0.0,216.0,915.0,38.2
Brighton,Tift,2219.0,325.0,985.0,157.0,0.0,1467.0,38.0,141.0,70.0,0.0,249.0,1716.0,77.3
Chula,Tift,1314.0,314.0,492.0,112.0,1.0,919.0,18.0,78.0,42.0,0.0,138.0,1057.0,80.4
Ty Ty,Tift,1221.0,244.0,333.0,69.0,1.0,647.0,70.0,72.0,34.0,0.0,176.0,823.0,67.4
Tifton Northwest,Tift,3334.0,261.0,1176.0,218.0,0.0,1655.0,112.0,339.0,141.0,0.0,592.0,2247.0,67.4
Tifton South,Tift,2366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Tifton Lodge,Tift,3091.0,2.0,23.0,6.0,0.0,31.0,0.0,1.0,1.0,0.0,2.0,33.0,1.1
