Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Pineknot,Marion,971.0,177.0,167.0,57.0,0.0,401.0,122.0,83.0,29.0,0.0,234.0,635.0,65.4
Buena Vista,Marion,2343.0,158.0,663.0,337.0,0.0,1158.0,95.0,312.0,120.0,0.0,527.0,1685.0,71.9
Tazewell,Marion,320.0,62.0,77.0,24.0,0.0,163.0,51.0,24.0,9.0,0.0,84.0,247.0,77.2
Brantley,Marion,396.0,51.0,107.0,44.0,0.0,202.0,24.0,61.0,12.0,0.0,97.0,299.0,75.5
Fort Perry,Marion,883.0,118.0,176.0,63.0,0.0,357.0,78.0,85.0,45.0,0.0,208.0,565.0,64.0
