Precinct,County,Registered Voters,Jane Jones Ingram_Election Day Votes,Jane Jones Ingram_Advanced Voting Votes,Jane Jones Ingram_Absentee by Mail Votes,Jane Jones Ingram_Provisional Votes,Jane Jones Ingram_Choice Total,"Carl Williams, III_Election Day Votes","Carl Williams, III_Advanced Voting Votes","Carl Williams, III_Absentee by Mail Votes","Carl Williams, III_Provisional Votes","Carl Williams, III_Choice Total",Total,calc_participation
Morgan,Calhoun,662.0,9.0,15.0,12.0,0.0,36.0,1.0,6.0,4.0,0.0,11.0,47.0,7.1
Edison,Calhoun,523.0,66.0,93.0,64.0,0.0,223.0,24.0,28.0,12.0,0.0,64.0,287.0,54.9
Edison-Arlington,Calhoun,594.0,32.0,33.0,20.0,0.0,85.0,8.0,16.0,1.0,0.0,25.0,110.0,18.5
