Precinct,County,Registered Voters,Carole C. Boyce (I) (Rep)_Election Day Votes,Carole C. Boyce (I) (Rep)_Advanced Voting Votes,Carole C. Boyce (I) (Rep)_Absentee by Mail Votes,Carole C. Boyce (I) (Rep)_Provisional Votes,Carole C. Boyce (I) (Rep)_Choice Total,Karen Watkins (Dem)_Election Day Votes,Karen Watkins (Dem)_Advanced Voting Votes,Karen Watkins (Dem)_Absentee by Mail Votes,Karen Watkins (Dem)_Provisional Votes,Karen Watkins (Dem)_Choice Total,Total,calc_participation
HARBINS A,Gwinnett,7182.0,378.0,1547.0,512.0,0.0,2437.0,327.0,1542.0,858.0,1.0,2728.0,5165.0,71.9
DACULA,Gwinnett,4777.0,250.0,931.0,266.0,1.0,1448.0,235.0,1092.0,590.0,0.0,1917.0,3365.0,70.4
DUNCANS A,Gwinnett,4729.0,361.0,1556.0,500.0,0.0,2417.0,116.0,710.0,456.0,0.0,1282.0,3699.0,78.2
LAWRENCEVILLE A,Gwinnett,3635.0,179.0,510.0,297.0,0.0,986.0,229.0,608.0,358.0,2.0,1197.0,2183.0,60.1
LAWRENCEVILLE B,Gwinnett,5097.0,150.0,630.0,307.0,0.0,1087.0,203.0,1459.0,694.0,0.0,2356.0,3443.0,67.5
HOG MOUNTAIN B,Gwinnett,4583.0,387.0,1065.0,481.0,1.0,1934.0,180.0,750.0,591.0,0.0,1521.0,3455.0,75.4
ROCKYCREEK A,Gwinnett,5939.0,480.0,1496.0,447.0,0.0,2423.0,262.0,1108.0,603.0,1.0,1974.0,4397.0,74.0
BAYCREEK B,Gwinnett,5969.0,270.0,665.0,298.0,3.0,1236.0,423.0,1712.0,780.0,5.0,2920.0,4156.0,69.6
ROCKBRIDGE D,Gwinnett,3642.0,67.0,393.0,201.0,1.0,662.0,204.0,1144.0,622.0,3.0,1973.0,2635.0,72.4
BAYCREEK K,Gwinnett,3824.0,168.0,706.0,373.0,0.0,1247.0,150.0,937.0,511.0,1.0,1599.0,2846.0,74.4
BAYCREEK C,Gwinnett,6499.0,324.0,1061.0,386.0,2.0,1773.0,355.0,1751.0,871.0,0.0,2977.0,4750.0,73.1
LAWRENCEVILLE G,Gwinnett,3046.0,112.0,307.0,147.0,0.0,566.0,245.0,746.0,406.0,1.0,1398.0,1964.0,64.5
BAYCREEK D,Gwinnett,4609.0,316.0,857.0,376.0,0.0,1549.0,196.0,1032.0,591.0,0.0,1819.0,3368.0,73.1
ROCKBRIDGE F,Gwinnett,5795.0,83.0,455.0,228.0,1.0,767.0,308.0,2138.0,851.0,4.0,3301.0,4068.0,70.2
BAYCREEK E,Gwinnett,3265.0,194.0,449.0,192.0,1.0,836.0,219.0,739.0,413.0,3.0,1374.0,2210.0,67.7
LAWRENCEVILLE J,Gwinnett,2249.0,143.0,219.0,112.0,0.0,474.0,187.0,545.0,281.0,0.0,1013.0,1487.0,66.1
HARBINS B,Gwinnett,4845.0,342.0,1265.0,326.0,0.0,1933.0,192.0,871.0,421.0,2.0,1486.0,3419.0,70.6
BAYCREEK F,Gwinnett,4608.0,237.0,583.0,239.0,5.0,1064.0,285.0,1325.0,649.0,5.0,2264.0,3328.0,72.2
ROCKYCREEK B,Gwinnett,5061.0,382.0,1251.0,404.0,2.0,2039.0,215.0,938.0,471.0,0.0,1624.0,3663.0,72.4
MARTINS K,Gwinnett,5352.0,214.0,403.0,268.0,0.0,885.0,478.0,1352.0,778.0,0.0,2608.0,3493.0,65.3
LAWRENCEVILLE L,Gwinnett,4802.0,224.0,757.0,371.0,1.0,1353.0,274.0,1116.0,672.0,0.0,2062.0,3415.0,71.1
BAYCREEK G,Gwinnett,6241.0,266.0,794.0,319.0,0.0,1379.0,320.0,1931.0,882.0,1.0,3134.0,4513.0,72.3
BAYCREEK H,Gwinnett,6811.0,367.0,1377.0,566.0,1.0,2311.0,325.0,1714.0,873.0,0.0,2912.0,5223.0,76.7
BAYCREEK I,Gwinnett,5899.0,261.0,809.0,385.0,3.0,1458.0,315.0,1483.0,754.0,0.0,2552.0,4010.0,68.0
HARBINS C,Gwinnett,2850.0,384.0,623.0,189.0,1.0,1197.0,166.0,587.0,264.0,1.0,1018.0,2215.0,77.7
ROCKYCREEK C,Gwinnett,4806.0,340.0,1221.0,378.0,0.0,1939.0,229.0,930.0,522.0,3.0,1684.0,3623.0,75.4
LAWRENCEVILLE N,Gwinnett,2573.0,172.0,301.0,161.0,0.0,634.0,204.0,459.0,273.0,6.0,942.0,1576.0,61.3
BAYCREEK J,Gwinnett,4567.0,201.0,524.0,259.0,0.0,984.0,301.0,1279.0,619.0,2.0,2201.0,3185.0,69.7
