Precinct,County,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,calc_participation
Preston 1,Webster,1705.0,221.0,544.0,244.0,0.0,1009.0,1009.0,59.2
Chokee,Lee,475.0,97.0,90.0,58.0,0.0,245.0,245.0,51.6
Redbone,Lee,4841.0,754.0,1846.0,385.0,3.0,2988.0,2988.0,61.7
Smithville,Lee,998.0,169.0,295.0,69.0,0.0,533.0,533.0,53.4
CJC,Lee,614.0,124.0,273.0,38.0,0.0,435.0,435.0,70.8
Leesburg,Lee,3313.0,460.0,1240.0,227.0,1.0,1928.0,1928.0,58.2
Friendship Baptist,Lee,1376.0,227.0,558.0,79.0,0.0,864.0,864.0,62.8
First Baptist,Lee,3921.0,575.0,1651.0,409.0,1.0,2636.0,2636.0,67.2
SDA Church,Lee,1576.0,297.0,615.0,133.0,0.0,1045.0,1045.0,66.3
Flint Reformed Baptist,Lee,2621.0,377.0,976.0,180.0,0.0,1533.0,1533.0,58.5
Century Fire Station,Lee,3162.0,407.0,1259.0,295.0,1.0,1962.0,1962.0,62.0
Agri-Center,Sumter,2059.0,176.0,762.0,221.0,0.0,1159.0,1159.0,56.3
Airport,Sumter,1767.0,180.0,687.0,226.0,0.0,1093.0,1093.0,61.9
Andersonville,Sumter,434.0,152.0,90.0,42.0,1.0,285.0,285.0,65.7
Browns Mill,Sumter,929.0,138.0,311.0,98.0,0.0,547.0,547.0,58.9
Concord,Sumter,376.0,119.0,82.0,28.0,7.0,236.0,236.0,62.8
GSW Conf Center,Sumter,3044.0,236.0,1096.0,396.0,2.0,1730.0,1730.0,56.8
Leslie,Sumter,1687.0,288.0,425.0,152.0,2.0,867.0,867.0,51.4
Plains,Sumter,1061.0,210.0,272.0,125.0,1.0,608.0,608.0,57.3
Rec Dept,Sumter,2667.0,257.0,721.0,384.0,0.0,1362.0,1362.0,51.1
Reese Park,Sumter,3064.0,237.0,743.0,384.0,0.0,1364.0,1364.0,44.5
Thompson,Sumter,712.0,118.0,140.0,74.0,1.0,333.0,333.0,46.8
Ideal,Macon,1399.0,134.0,349.0,77.0,0.0,560.0,560.0,40.0
Oglethorpe,Macon,1294.0,104.0,388.0,73.0,0.0,565.0,565.0,43.7
Marshallville,Macon,1344.0,229.0,255.0,98.0,0.0,582.0,582.0,43.3
Montezuma #4,Macon,1597.0,128.0,420.0,168.0,0.0,716.0,716.0,44.8
Montezuma #5,Macon,1357.0,140.0,299.0,148.0,0.0,587.0,587.0,43.3
Richland,Stewart,1256.0,151.0,264.0,130.0,3.0,548.0,548.0,43.6
Louvale,Stewart,286.0,62.0,43.0,31.0,1.0,137.0,137.0,47.9
Lumpkin,Stewart,1134.0,87.0,320.0,91.0,2.0,500.0,500.0,44.1
Omaha,Stewart,217.0,52.0,19.0,12.0,1.0,84.0,84.0,38.7
Precinct One,Schley,2882.0,310.0,1210.0,221.0,1.0,1742.0,1742.0,60.4
