Precinct,County,Registered Voters,Dominic LaRiccia (I) (Rep)_Election Day Votes,Dominic LaRiccia (I) (Rep)_Advanced Voting Votes,Dominic LaRiccia (I) (Rep)_Absentee by Mail Votes,Dominic LaRiccia (I) (Rep)_Provisional Votes,Dominic LaRiccia (I) (Rep)_Choice Total,"Michael """"Buckle"""" Moore (Dem)_Election Day Votes","Michael """"Buckle"""" Moore (Dem)_Advanced Voting Votes","Michael """"Buckle"""" Moore (Dem)_Absentee by Mail Votes","Michael """"Buckle"""" Moore (Dem)_Provisional Votes","Michael """"Buckle"""" Moore (Dem)_Choice Total",Total,calc_participation
Blackburn 1,Jeff Davis,870.0,92.0,208.0,37.0,0.0,337.0,30.0,49.0,36.0,0.0,115.0,452.0,52.0
Blackburn 2,Jeff Davis,722.0,164.0,244.0,53.0,0.0,461.0,10.0,19.0,9.0,0.0,38.0,499.0,69.1
Whitehead 1,Jeff Davis,988.0,97.0,316.0,67.0,0.0,480.0,30.0,74.0,37.0,0.0,141.0,621.0,62.9
Whitehead 2,Jeff Davis,642.0,180.0,196.0,42.0,0.0,418.0,14.0,13.0,10.0,0.0,37.0,455.0,70.9
Ocmulgee 2,Jeff Davis,499.0,14.0,28.0,9.0,0.0,51.0,1.0,1.0,1.0,0.0,3.0,54.0,10.8
Douglas,Coffee,17243.0,945.0,4524.0,636.0,3.0,6108.0,787.0,2034.0,728.0,0.0,3549.0,9657.0,56.0
Bridgetown,Coffee,344.0,102.0,59.0,7.0,0.0,168.0,46.0,20.0,9.0,0.0,75.0,243.0,70.6
Broxton,Coffee,2398.0,102.0,314.0,34.0,1.0,451.0,46.0,57.0,41.0,0.0,144.0,595.0,24.8
Nicholls,Coffee,2115.0,356.0,478.0,55.0,2.0,891.0,111.0,132.0,74.0,1.0,318.0,1209.0,57.2
West Green,Coffee,961.0,286.0,235.0,50.0,0.0,571.0,34.0,16.0,8.0,0.0,58.0,629.0,65.5
Douglas,Bacon,6720.0,396.0,2959.0,466.0,2.0,3823.0,146.0,278.0,172.0,0.0,596.0,4419.0,65.8
