Precinct,County,Registered Voters,Victor E. Anderson (Rep)_Election Day Votes,Victor E. Anderson (Rep)_Advanced Voting Votes,Victor E. Anderson (Rep)_Absentee by Mail Votes,Victor E. Anderson (Rep)_Provisional Votes,Victor E. Anderson (Rep)_Choice Total,Nick Mitchell (Dem)_Election Day Votes,Nick Mitchell (Dem)_Advanced Voting Votes,Nick Mitchell (Dem)_Absentee by Mail Votes,Nick Mitchell (Dem)_Provisional Votes,Nick Mitchell (Dem)_Choice Total,Total,calc_participation
Habersham North,Habersham,9096.0,476.0,2974.0,788.0,7.0,4245.0,65.0,426.0,345.0,0.0,836.0,5081.0,55.9
Habersham South,Habersham,6171.0,274.0,799.0,273.0,3.0,1349.0,83.0,208.0,138.0,0.0,429.0,1778.0,28.8
Demorest,Habersham,4963.0,483.0,2082.0,541.0,1.0,3107.0,73.0,230.0,155.0,1.0,459.0,3566.0,71.9
City of Baldwin,Habersham,1252.0,140.0,299.0,87.0,0.0,526.0,45.0,77.0,56.0,0.0,178.0,704.0,56.2
Mud Creek,Habersham,4435.0,475.0,1643.0,467.0,2.0,2587.0,91.0,182.0,157.0,0.0,430.0,3017.0,68.0
Amys Creek,Habersham,1557.0,269.0,561.0,180.0,0.0,1010.0,31.0,96.0,100.0,0.0,227.0,1237.0,79.4
Blue Creek,White,2352.0,406.0,771.0,234.0,0.0,1411.0,34.0,146.0,160.0,0.0,340.0,1751.0,74.4
Mossy Creek,White,3164.0,619.0,1058.0,300.0,0.0,1977.0,43.0,104.0,84.0,0.0,231.0,2208.0,69.8
Mt Yonah,White,4468.0,534.0,1558.0,478.0,2.0,2572.0,68.0,250.0,179.0,0.0,497.0,3069.0,68.7
Nacoochee,White,1552.0,207.0,475.0,206.0,1.0,889.0,55.0,132.0,137.0,0.0,324.0,1213.0,78.2
Shoal Creek,White,2538.0,160.0,300.0,110.0,0.0,570.0,10.0,17.0,32.0,0.0,59.0,629.0,24.8
White Creek,White,1779.0,353.0,612.0,188.0,0.0,1153.0,27.0,37.0,42.0,0.0,106.0,1259.0,70.8
