Precinct,County,Registered Voters,Jimmy Atkins (I)_Election Day Votes,Jimmy Atkins (I)_Advanced Voting Votes,Jimmy Atkins (I)_Absentee by Mail Votes,Jimmy Atkins (I)_Provisional Votes,Jimmy Atkins (I)_Choice Total,Yolanda Holley_Election Day Votes,Yolanda Holley_Advanced Voting Votes,Yolanda Holley_Absentee by Mail Votes,Yolanda Holley_Provisional Votes,Yolanda Holley_Choice Total,Total,calc_participation
801,Richmond,523.0,134.0,43.0,50.0,0.0,227.0,31.0,17.0,31.0,0.0,79.0,306.0,58.5
801B,Richmond,523.0,166.0,26.0,57.0,0.0,249.0,28.0,14.0,22.0,0.0,64.0,313.0,59.8
802,Richmond,3251.0,612.0,379.0,295.0,1.0,1287.0,131.0,182.0,184.0,0.0,497.0,1784.0,54.9
803,Richmond,252.0,14.0,23.0,14.0,0.0,51.0,18.0,15.0,15.0,1.0,49.0,100.0,39.7
804,Richmond,2096.0,184.0,298.0,163.0,0.0,645.0,116.0,282.0,166.0,0.0,564.0,1209.0,57.7
804H,Richmond,2863.0,337.0,416.0,271.0,0.0,1024.0,151.0,311.0,242.0,0.0,704.0,1728.0,60.4
805,Richmond,798.0,67.0,114.0,63.0,0.0,244.0,47.0,122.0,72.0,1.0,242.0,486.0,60.9
806,Richmond,1212.0,183.0,217.0,111.0,1.0,512.0,54.0,88.0,73.0,0.0,215.0,727.0,60.0
807,Richmond,1578.0,97.0,187.0,114.0,0.0,398.0,90.0,190.0,160.0,0.0,440.0,838.0,53.1
808,Richmond,2366.0,316.0,442.0,271.0,0.0,1029.0,116.0,234.0,169.0,1.0,520.0,1549.0,65.5
809,Richmond,879.0,28.0,87.0,85.0,0.0,200.0,55.0,219.0,115.0,0.0,389.0,589.0,67.0
810,Richmond,425.0,44.0,88.0,35.0,0.0,167.0,12.0,57.0,39.0,0.0,108.0,275.0,64.7
