Precinct,County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,calc_participation
Warrior 1,Bibb,2617.0,690.0,621.0,260.0,3.0,1574.0,1574.0,60.1
Cox,Monroe,718.0,161.0,294.0,42.0,0.0,497.0,497.0,69.2
Culloden,Monroe,454.0,141.0,91.0,45.0,1.0,278.0,278.0,61.2
Forsyth,Monroe,4640.0,183.0,835.0,256.0,0.0,1274.0,1274.0,27.5
Russellville,Monroe,466.0,149.0,137.0,25.0,0.0,311.0,311.0,66.7
CENT,Houston,7795.0,98.0,155.0,80.0,0.0,333.0,333.0,4.3
HHPC,Houston,9610.0,333.0,681.0,416.0,0.0,1430.0,1430.0,14.9
NSES,Houston,2441.0,462.0,591.0,341.0,0.0,1394.0,1394.0,57.1
RECR,Houston,9277.0,347.0,487.0,427.0,0.0,1261.0,1261.0,13.6
District 1A,Crawford,516.0,87.0,128.0,46.0,0.0,261.0,261.0,50.6
District 1B,Crawford,1025.0,87.0,340.0,90.0,1.0,518.0,518.0,50.5
District 2,Crawford,1659.0,171.0,614.0,176.0,1.0,962.0,962.0,58.0
District 3,Crawford,1738.0,215.0,756.0,145.0,0.0,1116.0,1116.0,64.2
District 4,Crawford,1805.0,378.0,654.0,184.0,0.0,1216.0,1216.0,67.4
District 5,Crawford,1769.0,377.0,622.0,164.0,0.0,1163.0,1163.0,65.7
Byron 1,Peach,2636.0,200.0,1297.0,201.0,2.0,1700.0,1700.0,64.5
Byron 2,Peach,5028.0,326.0,2128.0,476.0,3.0,2933.0,2933.0,58.3
Claude,Peach,908.0,198.0,339.0,71.0,1.0,609.0,609.0,67.1
Powersville,Peach,1365.0,173.0,562.0,125.0,3.0,863.0,863.0,63.2
