Precinct,County,Registered Voters,Carolyn Hugley (I) (Dem)_Election Day Votes,Carolyn Hugley (I) (Dem)_Advanced Voting Votes,Carolyn Hugley (I) (Dem)_Absentee by Mail Votes,Carolyn Hugley (I) (Dem)_Provisional Votes,Carolyn Hugley (I) (Dem)_Choice Total,Total,calc_participation
St John/Belvedere,Muscogee,5341.0,298.0,1747.0,1166.0,2.0,3213.0,3213.0,60.2
Cusseta Rd,Muscogee,6169.0,244.0,733.0,513.0,0.0,1490.0,1490.0,24.2
Our Lady of Lourdes,Muscogee,10204.0,331.0,993.0,784.0,2.0,2110.0,2110.0,20.7
Mt Pilgrim,Muscogee,6022.0,462.0,1909.0,1187.0,1.0,3559.0,3559.0,59.1
Canaan,Muscogee,7078.0,275.0,963.0,495.0,0.0,1733.0,1733.0,24.5
Holsey/Buena Vista,Muscogee,7613.0,94.0,401.0,228.0,0.0,723.0,723.0,9.5
Gentian/Reese,Muscogee,5612.0,240.0,788.0,464.0,0.0,1492.0,1492.0,26.6
St Andrews/Midland,Muscogee,7959.0,316.0,1009.0,563.0,0.0,1888.0,1888.0,23.7
Salvation Army,Muscogee,3192.0,309.0,876.0,445.0,0.0,1630.0,1630.0,51.1
Edgewood Baptist,Muscogee,3235.0,261.0,909.0,498.0,3.0,1671.0,1671.0,51.7
