Precinct,County,Registered Voters,Calvin Smyre (I) (Dem)_Election Day Votes,Calvin Smyre (I) (Dem)_Advanced Voting Votes,Calvin Smyre (I) (Dem)_Absentee by Mail Votes,Calvin Smyre (I) (Dem)_Provisional Votes,Calvin Smyre (I) (Dem)_Choice Total,Total,calc_participation
Wynnton/Britt,Muscogee,5289.0,398.0,1332.0,854.0,0.0,2584.0,2584.0,48.9
Carver/Mack,Muscogee,4374.0,263.0,1163.0,851.0,0.0,2277.0,2277.0,52.1
Columbus Tech,Muscogee,4464.0,371.0,767.0,425.0,0.0,1563.0,1563.0,35.0
Cusseta Rd,Muscogee,6169.0,307.0,505.0,368.0,3.0,1183.0,1183.0,19.2
Our Lady of Lourdes,Muscogee,10204.0,380.0,814.0,615.0,3.0,1812.0,1812.0,17.8
First African,Muscogee,1955.0,133.0,348.0,284.0,4.0,769.0,769.0,39.3
Epworth UMC,Muscogee,4512.0,194.0,494.0,333.0,0.0,1021.0,1021.0,22.6
Marianna Gallops,Muscogee,3095.0,247.0,579.0,367.0,5.0,1198.0,1198.0,38.7
