Precinct,County,Registered Voters,Larry Walker (I) (Rep)_Election Day Votes,Larry Walker (I) (Rep)_Advanced Voting Votes,Larry Walker (I) (Rep)_Absentee by Mail Votes,Larry Walker (I) (Rep)_Provisional Votes,Larry Walker (I) (Rep)_Choice Total,Julius Newberry Johnson (Dem)_Election Day Votes,Julius Newberry Johnson (Dem)_Advanced Voting Votes,Julius Newberry Johnson (Dem)_Absentee by Mail Votes,Julius Newberry Johnson (Dem)_Provisional Votes,Julius Newberry Johnson (Dem)_Choice Total,Total,calc_participation
FBC-FLC,Laurens,4180.0,350.0,1158.0,491.0,0.0,1999.0,167.0,523.0,334.0,1.0,1025.0,3024.0,72.3
Calhoun Park,Laurens,6053.0,212.0,478.0,231.0,0.0,921.0,505.0,940.0,838.0,0.0,2283.0,3204.0,52.9
Fire Dept Sta 5,Laurens,3672.0,525.0,1202.0,375.0,0.0,2102.0,128.0,373.0,205.0,0.0,706.0,2808.0,76.5
Buckeye,Laurens,1047.0,210.0,127.0,64.0,0.0,401.0,78.0,100.0,128.0,1.0,307.0,708.0,67.6
Burch,Laurens,422.0,164.0,45.0,38.0,0.0,247.0,18.0,13.0,34.0,0.0,65.0,312.0,73.9
Cadwell,Laurens,749.0,295.0,124.0,51.0,1.0,471.0,31.0,25.0,18.0,0.0,74.0,545.0,72.8
Brewton,Laurens,1739.0,457.0,334.0,113.0,1.0,905.0,67.0,96.0,73.0,0.0,236.0,1141.0,65.6
Dudley,Laurens,1121.0,352.0,315.0,98.0,0.0,765.0,39.0,56.0,59.0,0.0,154.0,919.0,82.0
Hampton Mill,Laurens,1772.0,647.0,372.0,142.0,0.0,1161.0,73.0,41.0,51.0,0.0,165.0,1326.0,74.8
Harvard,Laurens,406.0,102.0,39.0,28.0,0.0,169.0,48.0,37.0,25.0,0.0,110.0,279.0,68.7
Minter,Laurens,937.0,345.0,183.0,90.0,1.0,619.0,14.0,10.0,16.0,0.0,40.0,659.0,70.3
Rural Fire Sta 17,Laurens,2344.0,479.0,521.0,184.0,0.0,1184.0,108.0,150.0,119.0,0.0,377.0,1561.0,66.6
W T Adams Fire Sta 18,Laurens,2090.0,379.0,612.0,175.0,0.0,1166.0,96.0,203.0,171.0,1.0,471.0,1637.0,78.3
Reedy Springs,Laurens,894.0,388.0,137.0,47.0,0.0,572.0,39.0,32.0,29.0,0.0,100.0,672.0,75.2
Smith,Laurens,3374.0,401.0,461.0,179.0,0.0,1041.0,243.0,368.0,257.0,0.0,868.0,1909.0,56.6
LCFS 10 Valambrosia,Laurens,2080.0,310.0,410.0,152.0,0.0,872.0,106.0,236.0,169.0,0.0,511.0,1383.0,66.5
Courthouse Annex,Pulaski,5687.0,326.0,2157.0,332.0,0.0,2815.0,167.0,661.0,308.0,0.0,1136.0,3951.0,69.5
ANNX,Houston,4512.0,479.0,1220.0,601.0,5.0,2305.0,167.0,447.0,494.0,1.0,1109.0,3414.0,75.7
BMS,Houston,9536.0,1355.0,2560.0,1125.0,1.0,5041.0,367.0,1106.0,947.0,1.0,2421.0,7462.0,78.3
CGTC,Houston,4860.0,542.0,1341.0,439.0,4.0,2326.0,169.0,628.0,482.0,0.0,1279.0,3605.0,74.2
FMMS,Houston,8767.0,1088.0,1899.0,638.0,1.0,3626.0,497.0,1331.0,951.0,2.0,2781.0,6407.0,73.1
HAFS,Houston,1805.0,621.0,350.0,123.0,0.0,1094.0,93.0,73.0,85.0,0.0,251.0,1345.0,74.5
HCTC,Houston,6361.0,549.0,959.0,508.0,2.0,2018.0,424.0,809.0,665.0,3.0,1901.0,3919.0,61.6
HEFS,Houston,1372.0,344.0,262.0,99.0,4.0,709.0,145.0,75.0,99.0,4.0,323.0,1032.0,75.2
HHPC,Houston,9610.0,336.0,706.0,343.0,3.0,1388.0,289.0,463.0,454.0,3.0,1209.0,2597.0,27.0
MCMS,Houston,9181.0,1115.0,2488.0,810.0,7.0,4420.0,353.0,1235.0,869.0,2.0,2459.0,6879.0,74.9
RECR,Houston,9277.0,101.0,144.0,79.0,1.0,325.0,247.0,327.0,260.0,2.0,836.0,1161.0,12.5
ROZR,Houston,13802.0,1555.0,3820.0,1367.0,3.0,6745.0,618.0,1366.0,1072.0,5.0,3061.0,9806.0,71.0
TMS,Houston,5286.0,235.0,433.0,228.0,3.0,899.0,258.0,475.0,374.0,2.0,1109.0,2008.0,38.0
TWPK,Houston,4415.0,644.0,892.0,431.0,1.0,1968.0,249.0,578.0,419.0,3.0,1249.0,3217.0,72.9
VHS,Houston,6295.0,993.0,1793.0,498.0,4.0,3288.0,251.0,710.0,482.0,0.0,1443.0,4731.0,75.2
Fairground,Bleckley,0.0,955.0,2788.0,639.0,2.0,4384.0,269.0,540.0,389.0,0.0,1198.0,5582.0,
