Precinct,County,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,calc_participation
Ideal,Macon,1399.0,157.0,389.0,95.0,0.0,641.0,641.0,45.8
Oglethorpe,Macon,1294.0,113.0,444.0,112.0,0.0,669.0,669.0,51.7
Marshallville,Macon,1344.0,270.0,275.0,134.0,0.0,679.0,679.0,50.5
Montezuma #4,Macon,1597.0,156.0,487.0,212.0,0.0,855.0,855.0,53.5
Montezuma #5,Macon,1357.0,163.0,370.0,190.0,0.0,723.0,723.0,53.3
Lilly,Dooly,536.0,95.0,128.0,49.0,0.0,272.0,272.0,50.7
Byromville,Dooly,609.0,144.0,140.0,73.0,2.0,359.0,359.0,58.9
Unadilla,Dooly,1634.0,234.0,406.0,167.0,0.0,807.0,807.0,49.4
Vienna,Dooly,2696.0,194.0,948.0,253.0,0.0,1395.0,1395.0,51.7
Pinehurst,Dooly,474.0,86.0,140.0,47.0,0.0,273.0,273.0,57.6
Precinct 1,Taylor,1108.0,143.0,340.0,141.0,2.0,626.0,626.0,56.5
Precinct 5,Taylor,2219.0,148.0,746.0,156.0,3.0,1053.0,1053.0,47.5
Precinct 6,Taylor,2073.0,195.0,605.0,320.0,2.0,1122.0,1122.0,54.1
Fort Valley 1,Peach,2669.0,225.0,853.0,346.0,1.0,1425.0,1425.0,53.4
Fort Valley 2,Peach,2670.0,211.0,744.0,317.0,1.0,1273.0,1273.0,47.7
Fort Valley 3,Peach,2720.0,222.0,792.0,470.0,2.0,1486.0,1486.0,54.6
