Precinct,County,Registered Voters,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_Choice Total,Total,calc_participation
Shaw,Colquitt,3487.0,158.0,470.0,227.0,0.0,855.0,855.0,24.5
Moultrie,Colquitt,4809.0,475.0,1451.0,456.0,0.0,2382.0,2382.0,49.5
Autreyville,Colquitt,1512.0,289.0,453.0,88.0,2.0,832.0,832.0,55.0
Crosland,Colquitt,289.0,93.0,40.0,20.0,0.0,153.0,153.0,52.9
Hopewell,Colquitt,1670.0,290.0,645.0,132.0,3.0,1070.0,1070.0,64.1
Lee,Colquitt,1094.0,227.0,303.0,82.0,0.0,612.0,612.0,55.9
Murphy,Colquitt,973.0,193.0,451.0,65.0,0.0,709.0,709.0,72.9
Norman Park,Colquitt,2586.0,463.0,758.0,199.0,0.0,1420.0,1420.0,54.9
Robinson,Colquitt,860.0,245.0,215.0,56.0,0.0,516.0,516.0,60.0
Tyty,Colquitt,543.0,233.0,81.0,34.0,0.0,348.0,348.0,64.1
Warrior,Colquitt,971.0,293.0,266.0,67.0,0.0,626.0,626.0,64.5
Coolidge,Thomas,983.0,229.0,301.0,71.0,0.0,601.0,601.0,61.1
LIttle Ochlocknee Baptist Church,Thomas,1132.0,222.0,496.0,90.0,0.0,808.0,808.0,71.4
Meigs,Thomas,864.0,194.0,192.0,71.0,1.0,458.0,458.0,53.0
Ochlocknee,Thomas,1175.0,289.0,388.0,56.0,0.0,733.0,733.0,62.4
Merrillville,Thomas,701.0,65.0,299.0,48.0,0.0,412.0,412.0,58.8
Docia,Tift,1056.0,244.0,458.0,94.0,1.0,797.0,797.0,75.5
Eldorado,Tift,1262.0,297.0,443.0,79.0,2.0,821.0,821.0,65.1
Omega,Tift,864.0,283.0,161.0,40.0,1.0,485.0,485.0,56.1
Tifton South,Tift,2366.0,152.0,445.0,126.0,0.0,723.0,723.0,30.6
Mott-Litman Gym,Tift,2889.0,38.0,110.0,46.0,1.0,195.0,195.0,6.7
