Precinct,County,Registered Voters,Randy_Election Day Votes,Randy_Advanced Voting Votes,Randy_Absentee by Mail Votes,Randy_Provisional Votes,Randy_Choice Total,Total,Dennis Bell (I) (Rep)_Election Day Votes,Dennis Bell (I) (Rep)_Advanced Voting Votes,Dennis Bell (I) (Rep)_Absentee by Mail Votes,Dennis Bell (I) (Rep)_Provisional Votes,Dennis Bell (I) (Rep)_Choice Total,Greg James (I) (Rep)_Election Day Votes,Greg James (I) (Rep)_Advanced Voting Votes,Greg James (I) (Rep)_Absentee by Mail Votes,Greg James (I) (Rep)_Provisional Votes,Greg James (I) (Rep)_Choice Total,Betty C. Hill (I) (Dem)_Election Day Votes,Betty C. Hill (I) (Dem)_Advanced Voting Votes,Betty C. Hill (I) (Dem)_Absentee by Mail Votes,Betty C. Hill (I) (Dem)_Provisional Votes,Betty C. Hill (I) (Dem)_Choice Total,calc_participation
Hoboken,Brantley,3394.0,538.0,1085.0,231.0,0.0,1854.0,1854.0,,,,,,,,,,,,,,,,54.6
Nahunta,Brantley,4208.0,415.0,1278.0,216.0,5.0,1914.0,1914.0,,,,,,,,,,,,,,,,45.5
Waynesville,Brantley,4286.0,719.0,1046.0,202.0,2.0,1969.0,1969.0,,,,,,,,,,,,,,,,45.9
Senior Center,Stephens,0.0,,,,,,10241.0,1394.0,7171.0,1672.0,4.0,10241.0,,,,,,,,,,,
Rabun County,Rabun,13072.0,,,,,,8285.0,,,,,,1309.0,4954.0,2022.0,0.0,8285.0,,,,,,63.4
Claude,Peach,908.0,,,,,,143.0,,,,,,,,,,,45.0,80.0,18.0,0.0,143.0,15.7
Fort Valley 1,Peach,2669.0,,,,,,272.0,,,,,,,,,,,51.0,150.0,71.0,0.0,272.0,10.2
Fort Valley 2,Peach,2670.0,,,,,,252.0,,,,,,,,,,,43.0,174.0,34.0,1.0,252.0,9.4
Fort Valley 3,Peach,2720.0,,,,,,1000.0,,,,,,,,,,,127.0,541.0,332.0,0.0,1000.0,36.8
