Precinct,County,Registered Voters,"William """"Bill"""" Werkheiser (I) (Rep)_Election Day Votes","William """"Bill"""" Werkheiser (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Werkheiser (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Werkheiser (I) (Rep)_Provisional Votes","William """"Bill"""" Werkheiser (I) (Rep)_Choice Total",Total,calc_participation
Madray Springs,Wayne,1176.0,177.0,532.0,138.0,0.0,847.0,847.0,72.0
Oglethorpe,Wayne,1741.0,243.0,745.0,174.0,0.0,1162.0,1162.0,66.7
Red Hill,Wayne,1036.0,142.0,373.0,97.0,0.0,612.0,612.0,59.1
Altamaha,Wayne,2857.0,250.0,1055.0,224.0,3.0,1532.0,1532.0,53.6
VFW,Wayne,1145.0,64.0,220.0,78.0,0.0,362.0,362.0,31.6
Pine Street,Wayne,1140.0,73.0,199.0,55.0,0.0,327.0,327.0,28.7
Unity,Wayne,1905.0,194.0,691.0,200.0,0.0,1085.0,1085.0,57.0
Rec Center,Wayne,1766.0,12.0,27.0,6.0,0.0,45.0,45.0,2.5
Cobbtown,Tattnall,761.0,225.0,172.0,77.0,0.0,474.0,474.0,62.3
Shiloh,Tattnall,1111.0,106.0,282.0,67.0,0.0,455.0,455.0,41.0
Collins,Tattnall,1482.0,197.0,532.0,119.0,0.0,848.0,848.0,57.2
Manassas,Tattnall,265.0,76.0,66.0,10.0,0.0,152.0,152.0,57.4
District II,Tattnall,2500.0,246.0,876.0,160.0,0.0,1282.0,1282.0,51.3
East Glennville,Tattnall,2506.0,327.0,942.0,286.0,0.0,1555.0,1555.0,62.1
District IV,Tattnall,2497.0,316.0,861.0,209.0,0.0,1386.0,1386.0,55.5
District V,Tattnall,1062.0,209.0,341.0,81.0,0.0,631.0,631.0,59.4
Veterans Community Center,Evans,6135.0,591.0,2223.0,630.0,0.0,3444.0,3444.0,56.1
