Precinct,County,Registered Voters,Ryan Woodard_Election Day Votes,Ryan Woodard_Advanced Voting Votes,Ryan Woodard_Absentee by Mail Votes,Ryan Woodard_Provisional Votes,Ryan Woodard_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,296.0,1255.0,289.0,0.0,1840.0,1840.0,11.3
West Jackson,Jackson,14977.0,446.0,2272.0,557.0,0.0,3275.0,3275.0,21.9
