Precinct,County,Registered Voters,Wes Cantrell (I) (Rep)_Election Day Votes,Wes Cantrell (I) (Rep)_Advanced Voting Votes,Wes Cantrell (I) (Rep)_Absentee by Mail Votes,Wes Cantrell (I) (Rep)_Provisional Votes,Wes Cantrell (I) (Rep)_Choice Total,Charles Ravenscraft (Dem)_Election Day Votes,Charles Ravenscraft (Dem)_Advanced Voting Votes,Charles Ravenscraft (Dem)_Absentee by Mail Votes,Charles Ravenscraft (Dem)_Provisional Votes,Charles Ravenscraft (Dem)_Choice Total,Total,calc_participation
ML02A,Fulton,2580.0,257.0,975.0,282.0,2.0,1516.0,54.0,268.0,221.0,0.0,543.0,2059.0,79.8
ML07A,Fulton,836.0,125.0,237.0,85.0,0.0,447.0,15.0,108.0,64.0,0.0,187.0,634.0,75.8
Avery,Cherokee,3592.0,362.0,1136.0,405.0,0.0,1903.0,56.0,178.0,176.0,0.0,410.0,2313.0,64.4
Ball Ground,Cherokee,4065.0,508.0,1720.0,326.0,0.0,2554.0,66.0,215.0,156.0,0.0,437.0,2991.0,73.6
Bradshaw,Cherokee,4491.0,485.0,1707.0,638.0,0.0,2830.0,94.0,372.0,337.0,0.0,803.0,3633.0,80.9
Conns Creek,Cherokee,895.0,262.0,281.0,61.0,0.0,604.0,20.0,19.0,24.0,0.0,63.0,667.0,74.5
Freehome,Cherokee,5790.0,713.0,2202.0,805.0,0.0,3720.0,88.0,370.0,412.0,0.0,870.0,4590.0,79.3
Hickory Flat,Cherokee,7334.0,109.0,410.0,154.0,0.0,673.0,33.0,159.0,156.0,0.0,348.0,1021.0,13.9
Hightower,Cherokee,3483.0,481.0,1423.0,432.0,0.0,2336.0,48.0,178.0,157.0,0.0,383.0,2719.0,78.1
Macedonia,Cherokee,4853.0,642.0,1899.0,597.0,0.0,3138.0,99.0,340.0,323.0,0.0,762.0,3900.0,80.4
Union Hill,Cherokee,4207.0,818.0,1442.0,525.0,2.0,2787.0,91.0,250.0,254.0,0.0,595.0,3382.0,80.4
Univeter,Cherokee,5434.0,251.0,1047.0,270.0,0.0,1568.0,33.0,177.0,134.0,0.0,344.0,1912.0,35.2
01 Big Creek,Forsyth,11222.0,111.0,436.0,146.0,1.0,694.0,50.0,316.0,213.0,0.0,579.0,1273.0,11.3
02 Brandywine,Forsyth,4500.0,340.0,849.0,327.0,1.0,1517.0,264.0,794.0,606.0,1.0,1665.0,3182.0,70.7
10 Midway,Forsyth,11631.0,132.0,1285.0,380.0,0.0,1797.0,41.0,377.0,277.0,0.0,695.0,2492.0,21.4
29 Polo,Forsyth,11222.0,181.0,969.0,336.0,0.0,1486.0,71.0,392.0,334.0,0.0,797.0,2283.0,20.3
34 Fowler,Forsyth,4965.0,329.0,1536.0,463.0,0.0,2328.0,120.0,823.0,537.0,1.0,1481.0,3809.0,76.7
