Precinct,County,Registered Voters,Douglas Martin (I)_Election Day Votes,Douglas Martin (I)_Advanced Voting Votes,Douglas Martin (I)_Absentee by Mail Votes,Douglas Martin (I)_Provisional Votes,Douglas Martin (I)_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,92.0,469.0,94.0,0.0,655.0,655.0,4.0
South Jackson,Jackson,8012.0,113.0,393.0,125.0,0.0,631.0,631.0,7.9
