Precinct,County,Registered Voters,Mesha Mainor (Dem)_Election Day Votes,Mesha Mainor (Dem)_Advanced Voting Votes,Mesha Mainor (Dem)_Absentee by Mail Votes,Mesha Mainor (Dem)_Provisional Votes,Mesha Mainor (Dem)_Choice Total,Total,calc_participation
02L2,Fulton,2249.0,126.0,859.0,354.0,5.0,1344.0,1344.0,59.8
02W,Fulton,978.0,58.0,402.0,123.0,0.0,583.0,583.0,59.6
03A,Fulton,2230.0,140.0,376.0,225.0,20.0,761.0,761.0,34.1
03B,Fulton,777.0,55.0,100.0,61.0,0.0,216.0,216.0,27.8
03C,Fulton,1879.0,141.0,335.0,226.0,5.0,707.0,707.0,37.6
03D,Fulton,1235.0,88.0,215.0,103.0,19.0,425.0,425.0,34.4
03E,Fulton,2894.0,296.0,487.0,210.0,36.0,1029.0,1029.0,35.6
03F,Fulton,2328.0,135.0,816.0,325.0,3.0,1279.0,1279.0,54.9
03G,Fulton,1033.0,79.0,150.0,44.0,2.0,275.0,275.0,26.6
03I,Fulton,1607.0,101.0,334.0,107.0,19.0,561.0,561.0,34.9
03L,Fulton,748.0,68.0,94.0,42.0,0.0,204.0,204.0,27.3
03N,Fulton,2804.0,223.0,470.0,155.0,22.0,870.0,870.0,31.0
03P1A,Fulton,4404.0,276.0,1399.0,505.0,10.0,2190.0,2190.0,49.7
03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
03T,Fulton,1742.0,149.0,496.0,133.0,5.0,783.0,783.0,44.9
04A,Fulton,1554.0,99.0,319.0,157.0,0.0,575.0,575.0,37.0
04C,Fulton,150.0,11.0,27.0,12.0,1.0,51.0,51.0,34.0
04D,Fulton,1736.0,155.0,451.0,185.0,5.0,796.0,796.0,45.9
04F,Fulton,2786.0,190.0,775.0,206.0,11.0,1182.0,1182.0,42.4
04J,Fulton,1617.0,46.0,109.0,18.0,6.0,179.0,179.0,11.1
04L,Fulton,2014.0,168.0,549.0,185.0,3.0,905.0,905.0,44.9
04X2,Fulton,846.0,60.0,237.0,94.0,0.0,391.0,391.0,46.2
06E,Fulton,2344.0,111.0,859.0,386.0,0.0,1356.0,1356.0,57.8
06L1,Fulton,991.0,36.0,364.0,213.0,1.0,614.0,614.0,62.0
06R,Fulton,2015.0,56.0,678.0,356.0,3.0,1093.0,1093.0,54.2
10G,Fulton,1332.0,96.0,501.0,230.0,0.0,827.0,827.0,62.1
10J,Fulton,1238.0,144.0,186.0,123.0,8.0,461.0,461.0,37.2
