Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Bremen,Haralson,6622.0,790.0,1778.0,581.0,0.0,3149.0,322.0,763.0,259.0,0.0,1344.0,4493.0,67.8
Buchanan,Haralson,2365.0,252.0,535.0,137.0,1.0,925.0,168.0,357.0,141.0,0.0,666.0,1591.0,67.3
Buncombe,Haralson,1075.0,199.0,164.0,59.0,0.0,422.0,115.0,105.0,46.0,0.0,266.0,688.0,64.0
Corinth,Haralson,1682.0,258.0,331.0,100.0,0.0,689.0,150.0,215.0,66.0,0.0,431.0,1120.0,66.6
Twentieth,Haralson,738.0,115.0,127.0,58.0,0.0,300.0,113.0,77.0,35.0,0.0,225.0,525.0,71.1
Felton,Haralson,304.0,62.0,37.0,10.0,0.0,109.0,49.0,38.0,17.0,0.0,104.0,213.0,70.1
Little Creek,Haralson,699.0,160.0,101.0,45.0,0.0,306.0,114.0,74.0,32.0,0.0,220.0,526.0,75.3
Mt View,Haralson,330.0,79.0,43.0,13.0,0.0,135.0,65.0,28.0,18.0,0.0,111.0,246.0,74.5
Seventh,Haralson,1932.0,250.0,388.0,130.0,2.0,770.0,159.0,238.0,79.0,0.0,476.0,1246.0,64.5
Berea-Steadman,Haralson,665.0,134.0,110.0,43.0,0.0,287.0,86.0,59.0,14.0,0.0,159.0,446.0,67.1
Tallapoosa,Haralson,3072.0,419.0,597.0,248.0,1.0,1265.0,221.0,337.0,141.0,0.0,699.0,1964.0,63.9
Waco,Haralson,1183.0,200.0,197.0,54.0,0.0,451.0,148.0,121.0,52.0,0.0,321.0,772.0,65.3
