Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Gill I,Meriwether,1662.0,295.0,272.0,162.0,0.0,729.0,106.0,125.0,89.0,1.0,321.0,1050.0,63.2
Gill II,Meriwether,1000.0,130.0,108.0,123.0,0.0,361.0,18.0,56.0,70.0,0.0,144.0,505.0,50.5
