Precinct,County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,calc_participation
Shaw,Colquitt,3487.0,156.0,462.0,233.0,0.0,851.0,851.0,24.4
Moultrie,Colquitt,4809.0,469.0,1434.0,451.0,1.0,2355.0,2355.0,49.0
Autreyville,Colquitt,1512.0,287.0,447.0,89.0,2.0,825.0,825.0,54.6
Bridgecreek,Colquitt,1191.0,278.0,456.0,95.0,2.0,831.0,831.0,69.8
Crosland,Colquitt,289.0,90.0,38.0,19.0,0.0,147.0,147.0,50.9
Doerun,Colquitt,619.0,188.0,131.0,32.0,0.0,351.0,351.0,56.7
Funston,Colquitt,1030.0,293.0,280.0,73.0,3.0,649.0,649.0,63.0
Hamilton,Colquitt,784.0,272.0,210.0,50.0,0.0,532.0,532.0,67.9
Hartsfield,Colquitt,408.0,172.0,88.0,43.0,1.0,304.0,304.0,74.5
Hopewell,Colquitt,1670.0,288.0,637.0,134.0,2.0,1061.0,1061.0,63.5
Lee,Colquitt,1094.0,227.0,302.0,82.0,0.0,611.0,611.0,55.9
Millcreek,Colquitt,422.0,113.0,138.0,39.0,0.0,290.0,290.0,68.7
Monk,Colquitt,1555.0,360.0,481.0,112.0,0.0,953.0,953.0,61.3
Murphy,Colquitt,973.0,191.0,447.0,67.0,0.0,705.0,705.0,72.5
Norman Park,Colquitt,2586.0,463.0,757.0,202.0,0.0,1422.0,1422.0,55.0
Robinson,Colquitt,860.0,244.0,211.0,54.0,0.0,509.0,509.0,59.2
Thigpen,Colquitt,251.0,101.0,45.0,19.0,0.0,165.0,165.0,65.7
Tyty,Colquitt,543.0,231.0,81.0,34.0,0.0,346.0,346.0,63.7
Warrior,Colquitt,971.0,285.0,258.0,69.0,0.0,612.0,612.0,63.0
Quitman,Brooks,4117.0,305.0,877.0,364.0,3.0,1549.0,1549.0,37.6
Barwick,Brooks,350.0,105.0,70.0,35.0,1.0,211.0,211.0,60.3
Dixie,Brooks,1066.0,161.0,255.0,102.0,1.0,519.0,519.0,48.7
Briggs,Brooks,2317.0,411.0,690.0,187.0,0.0,1288.0,1288.0,55.6
Nankin,Brooks,735.0,168.0,217.0,50.0,0.0,435.0,435.0,59.2
Morven,Brooks,1962.0,347.0,573.0,179.0,0.0,1099.0,1099.0,56.0
Pavo,Brooks,607.0,166.0,121.0,61.0,0.0,348.0,348.0,57.3
Statenville,Echols,2156.0,227.0,942.0,133.0,0.0,1302.0,1302.0,60.4
Hahira Train Depot,Lowndes,5526.0,966.0,2105.0,398.0,11.0,3480.0,3480.0,63.0
Trinity,Lowndes,10900.0,930.0,3313.0,925.0,30.0,5198.0,5198.0,47.7
Northside,Lowndes,17467.0,1087.0,5746.0,1651.0,63.0,8547.0,8547.0,48.9
Naylor,Lowndes,1291.0,259.0,412.0,79.0,1.0,751.0,751.0,58.2
Rainwater,Lowndes,9877.0,803.0,3582.0,896.0,42.0,5323.0,5323.0,53.9
Mildred,Lowndes,4283.0,254.0,623.0,272.0,10.0,1159.0,1159.0,27.1
Clyattville,Lowndes,4755.0,698.0,1388.0,368.0,14.0,2468.0,2468.0,51.9
Dasher,Lowndes,4255.0,671.0,1612.0,328.0,20.0,2631.0,2631.0,61.8
S Lowndes,Lowndes,3967.0,785.0,1305.0,325.0,15.0,2430.0,2430.0,61.3
VSU UC # 2,Lowndes,318.0,43.0,42.0,9.0,1.0,95.0,95.0,29.9
Jaycee Shack,Lowndes,6273.0,340.0,1265.0,473.0,23.0,2101.0,2101.0,33.5
Northgate Assembly,Lowndes,1997.0,127.0,476.0,107.0,17.0,727.0,727.0,36.4
