Precinct,County,Registered Voters,Bruce Harkness (Rep)_Election Day Votes,Bruce Harkness (Rep)_Advanced Voting Votes,Bruce Harkness (Rep)_Absentee by Mail Votes,Bruce Harkness (Rep)_Provisional Votes,Bruce Harkness (Rep)_Choice Total,Total,Emory Dooley (Rep)_Election Day Votes,Emory Dooley (Rep)_Advanced Voting Votes,Emory Dooley (Rep)_Absentee by Mail Votes,Emory Dooley (Rep)_Provisional Votes,Emory Dooley (Rep)_Choice Total,calc_participation
Habersham North,Habersham,9096.0,687.0,4144.0,1072.0,5.0,5908.0,5908.0,,,,,,65.0
Habersham South,Habersham,6171.0,597.0,2228.0,643.0,6.0,3474.0,3474.0,,,,,,56.3
Demorest,Habersham,4963.0,504.0,2069.0,554.0,1.0,3128.0,3128.0,,,,,,63.0
Town of Mt Airy,Habersham,790.0,112.0,248.0,71.0,2.0,433.0,433.0,,,,,,54.8
City of Baldwin,Habersham,1252.0,172.0,335.0,111.0,0.0,618.0,618.0,,,,,,49.4
Mud Creek,Habersham,4435.0,520.0,1668.0,475.0,2.0,2665.0,2665.0,,,,,,60.1
Amys Creek,Habersham,1557.0,277.0,578.0,193.0,0.0,1048.0,1048.0,,,,,,67.3
West,Dawson,2723.0,,,,,,1823.0,411.0,1006.0,405.0,1.0,1823.0,66.9
Central,Dawson,9891.0,,,,,,6419.0,973.0,4564.0,880.0,2.0,6419.0,64.9
East,Dawson,8915.0,,,,,,6024.0,1087.0,3905.0,1031.0,1.0,6024.0,67.6
