Precinct,County,Registered Voters,"Harold V. Jones, II (I) (Dem)_Election Day Votes","Harold V. Jones, II (I) (Dem)_Advanced Voting Votes","Harold V. Jones, II (I) (Dem)_Absentee by Mail Votes","Harold V. Jones, II (I) (Dem)_Provisional Votes","Harold V. Jones, II (I) (Dem)_Choice Total",Total,calc_participation
101,Richmond,896.0,129.0,208.0,150.0,0.0,487.0,487.0,54.4
102,Richmond,1278.0,150.0,188.0,195.0,3.0,536.0,536.0,41.9
103,Richmond,1428.0,159.0,290.0,275.0,2.0,726.0,726.0,50.8
104,Richmond,2976.0,440.0,544.0,559.0,5.0,1548.0,1548.0,52.0
105,Richmond,832.0,112.0,221.0,167.0,1.0,501.0,501.0,60.2
106,Richmond,1182.0,160.0,130.0,135.0,2.0,427.0,427.0,36.1
107,Richmond,1800.0,220.0,375.0,330.0,1.0,926.0,926.0,51.4
108,Richmond,517.0,71.0,112.0,116.0,0.0,299.0,299.0,57.8
109,Richmond,1052.0,116.0,269.0,180.0,1.0,566.0,566.0,53.8
111,Richmond,1578.0,200.0,282.0,291.0,1.0,774.0,774.0,49.0
112,Richmond,882.0,56.0,157.0,187.0,2.0,402.0,402.0,45.6
114,Richmond,856.0,117.0,142.0,141.0,1.0,401.0,401.0,46.8
201,Richmond,581.0,240.0,266.0,226.0,4.0,736.0,736.0,126.7
115,Richmond,1332.0,65.0,70.0,68.0,0.0,203.0,203.0,15.2
202,Richmond,4492.0,614.0,852.0,625.0,7.0,2098.0,2098.0,46.7
203,Richmond,991.0,137.0,161.0,189.0,3.0,490.0,490.0,49.4
204,Richmond,1578.0,214.0,349.0,237.0,3.0,803.0,803.0,50.9
207,Richmond,2705.0,348.0,437.0,413.0,8.0,1206.0,1206.0,44.6
208,Richmond,2651.0,341.0,523.0,418.0,2.0,1284.0,1284.0,48.4
210,Richmond,1507.0,168.0,351.0,365.0,4.0,888.0,888.0,58.9
301,Richmond,2409.0,309.0,608.0,437.0,0.0,1354.0,1354.0,56.2
302,Richmond,1032.0,151.0,243.0,137.0,0.0,531.0,531.0,51.5
303,Richmond,1417.0,119.0,386.0,236.0,1.0,742.0,742.0,52.4
304,Richmond,365.0,47.0,84.0,66.0,0.0,197.0,197.0,54.0
305,Richmond,428.0,38.0,122.0,87.0,0.0,247.0,247.0,57.7
306,Richmond,3934.0,402.0,1013.0,674.0,3.0,2092.0,2092.0,53.2
307,Richmond,1642.0,163.0,379.0,297.0,0.0,839.0,839.0,51.1
309,Richmond,3340.0,347.0,1144.0,768.0,3.0,2262.0,2262.0,67.7
310,Richmond,5163.0,525.0,1538.0,1024.0,3.0,3090.0,3090.0,59.8
401,Richmond,2093.0,246.0,719.0,499.0,0.0,1464.0,1464.0,69.9
402,Richmond,3311.0,467.0,567.0,536.0,4.0,1574.0,1574.0,47.5
404,Richmond,1748.0,249.0,475.0,366.0,4.0,1094.0,1094.0,62.6
405,Richmond,4424.0,360.0,1490.0,1131.0,4.0,2985.0,2985.0,67.5
406,Richmond,3221.0,351.0,1021.0,803.0,4.0,2179.0,2179.0,67.6
501,Richmond,3549.0,405.0,762.0,786.0,3.0,1956.0,1956.0,55.1
502,Richmond,4138.0,504.0,991.0,894.0,7.0,2396.0,2396.0,57.9
503,Richmond,4021.0,415.0,960.0,805.0,5.0,2185.0,2185.0,54.3
504,Richmond,2339.0,321.0,421.0,321.0,2.0,1065.0,1065.0,45.5
506,Richmond,416.0,49.0,88.0,44.0,2.0,183.0,183.0,44.0
507,Richmond,968.0,160.0,240.0,147.0,1.0,548.0,548.0,56.6
509,Richmond,2172.0,231.0,636.0,455.0,4.0,1326.0,1326.0,61.0
601,Richmond,3988.0,409.0,915.0,592.0,15.0,1931.0,1931.0,48.4
603,Richmond,3570.0,490.0,663.0,503.0,2.0,1658.0,1658.0,46.4
604,Richmond,1811.0,264.0,340.0,260.0,0.0,864.0,864.0,47.7
605,Richmond,3880.0,441.0,783.0,636.0,2.0,1862.0,1862.0,48.0
607,Richmond,1812.0,200.0,546.0,416.0,2.0,1164.0,1164.0,64.2
701,Richmond,2403.0,270.0,559.0,411.0,2.0,1242.0,1242.0,51.7
702,Richmond,1943.0,261.0,437.0,253.0,0.0,951.0,951.0,48.9
703,Richmond,4644.0,532.0,1063.0,601.0,4.0,2200.0,2200.0,47.4
801,Richmond,523.0,99.0,48.0,69.0,1.0,217.0,217.0,41.5
801B,Richmond,523.0,128.0,35.0,61.0,0.0,224.0,224.0,42.8
803,Richmond,252.0,29.0,38.0,29.0,1.0,97.0,97.0,38.5
804,Richmond,2096.0,258.0,513.0,308.0,0.0,1079.0,1079.0,51.5
805,Richmond,798.0,99.0,222.0,128.0,1.0,450.0,450.0,56.4
807,Richmond,1578.0,174.0,367.0,273.0,1.0,815.0,815.0,51.6
809,Richmond,879.0,83.0,320.0,197.0,2.0,602.0,602.0,68.5
