Precinct,County,Registered Voters,J. Collins (I) (Rep)_Election Day Votes,J. Collins (I) (Rep)_Advanced Voting Votes,J. Collins (I) (Rep)_Absentee by Mail Votes,J. Collins (I) (Rep)_Provisional Votes,J. Collins (I) (Rep)_Choice Total,Total,calc_participation
Dog River Library,Douglas,4915.0,469.0,2233.0,602.0,0.0,3304.0,3304.0,67.2
Sandhill,Carroll,4459.0,570.0,1551.0,334.0,0.0,2455.0,2455.0,55.1
Center Point,Carroll,1775.0,463.0,632.0,158.0,0.0,1253.0,1253.0,70.6
Fairfield,Carroll,3867.0,908.0,1207.0,360.0,0.0,2475.0,2475.0,64.0
Hulett,Carroll,2408.0,529.0,829.0,177.0,0.0,1535.0,1535.0,63.7
Bethany,Carroll,4779.0,362.0,964.0,236.0,1.0,1563.0,1563.0,32.7
V R County South,Carroll,2942.0,332.0,1109.0,268.0,1.0,1710.0,1710.0,58.1
V R County North,Carroll,5472.0,641.0,1805.0,456.0,0.0,2902.0,2902.0,53.0
Villa Rica City,Carroll,7250.0,644.0,2015.0,556.0,0.0,3215.0,3215.0,44.3
Temple County,Carroll,4354.0,701.0,1367.0,325.0,0.0,2393.0,2393.0,55.0
Temple City,Carroll,3700.0,652.0,1016.0,256.0,1.0,1925.0,1925.0,52.0
