Precinct,County,Registered Voters,Charlice Byrd (Rep)_Election Day Votes,Charlice Byrd (Rep)_Advanced Voting Votes,Charlice Byrd (Rep)_Absentee by Mail Votes,Charlice Byrd (Rep)_Provisional Votes,Charlice Byrd (Rep)_Choice Total,Ginny Lennox (Dem)_Election Day Votes,Ginny Lennox (Dem)_Advanced Voting Votes,Ginny Lennox (Dem)_Absentee by Mail Votes,Ginny Lennox (Dem)_Provisional Votes,Ginny Lennox (Dem)_Choice Total,Total,calc_participation
Bascomb,Cherokee,4115.0,563.0,1167.0,399.0,0.0,2129.0,162.0,438.0,363.0,0.0,963.0,3092.0,75.1
Booth,Cherokee,3899.0,404.0,1260.0,471.0,0.0,2135.0,119.0,404.0,390.0,0.0,913.0,3048.0,78.2
Carmel,Cherokee,4581.0,499.0,848.0,397.0,2.0,1746.0,278.0,515.0,454.0,1.0,1248.0,2994.0,65.4
Deer Run,Cherokee,3035.0,583.0,671.0,296.0,1.0,1551.0,134.0,348.0,284.0,0.0,766.0,2317.0,76.3
Dixie,Cherokee,5733.0,536.0,1286.0,502.0,0.0,2324.0,284.0,704.0,594.0,0.0,1582.0,3906.0,68.1
Hillside,Cherokee,3155.0,377.0,1082.0,402.0,0.0,1861.0,91.0,307.0,278.0,0.0,676.0,2537.0,80.4
Neese,Cherokee,7642.0,451.0,1075.0,365.0,1.0,1892.0,175.0,573.0,486.0,0.0,1234.0,3126.0,40.9
Rosecreek,Cherokee,3748.0,505.0,1136.0,393.0,0.0,2034.0,126.0,391.0,329.0,0.0,846.0,2880.0,76.8
Sixes,Cherokee,3101.0,421.0,1003.0,394.0,0.0,1818.0,83.0,279.0,282.0,0.0,644.0,2462.0,79.4
Victoria,Cherokee,3132.0,545.0,868.0,282.0,0.0,1695.0,120.0,266.0,190.0,0.0,576.0,2271.0,72.5
Woodstock,Cherokee,7345.0,633.0,1750.0,694.0,0.0,3077.0,297.0,978.0,693.0,0.0,1968.0,5045.0,68.7
