Precinct,County,Registered Voters,Chuck Hufstetler (I) (Rep)_Election Day Votes,Chuck Hufstetler (I) (Rep)_Advanced Voting Votes,Chuck Hufstetler (I) (Rep)_Absentee by Mail Votes,Chuck Hufstetler (I) (Rep)_Provisional Votes,Chuck Hufstetler (I) (Rep)_Choice Total,Charles DeYoung (Dem)_Election Day Votes,Charles DeYoung (Dem)_Advanced Voting Votes,Charles DeYoung (Dem)_Absentee by Mail Votes,Charles DeYoung (Dem)_Provisional Votes,Charles DeYoung (Dem)_Choice Total,Total,calc_participation
Alto Park,Floyd,3360.0,322.0,1171.0,353.0,9.0,1855.0,95.0,268.0,189.0,2.0,554.0,2409.0,71.7
Armuchee,Floyd,1269.0,275.0,396.0,119.0,1.0,791.0,30.0,66.0,36.0,0.0,132.0,923.0,72.7
Barkers,Floyd,2355.0,391.0,944.0,204.0,6.0,1545.0,40.0,93.0,64.0,0.0,197.0,1742.0,74.0
Cave Spring,Floyd,1617.0,417.0,335.0,146.0,2.0,900.0,58.0,56.0,87.0,2.0,203.0,1103.0,68.2
Chulio,Floyd,1155.0,275.0,338.0,102.0,9.0,724.0,34.0,41.0,51.0,0.0,126.0,850.0,73.6
Etowah,Floyd,4946.0,597.0,1937.0,479.0,9.0,3022.0,91.0,351.0,248.0,1.0,691.0,3713.0,75.1
Everett Springs,Floyd,421.0,171.0,72.0,27.0,4.0,274.0,25.0,8.0,18.0,0.0,51.0,325.0,77.2
Floyd Springs,Floyd,1666.0,408.0,581.0,151.0,22.0,1162.0,26.0,62.0,36.0,2.0,126.0,1288.0,77.3
Fosters Mill,Floyd,971.0,279.0,279.0,74.0,1.0,633.0,19.0,30.0,25.0,0.0,74.0,707.0,72.8
Garden Lakes,Floyd,2261.0,213.0,610.0,206.0,5.0,1034.0,84.0,209.0,104.0,2.0,399.0,1433.0,63.4
Glenwood,Floyd,3635.0,503.0,1078.0,294.0,1.0,1876.0,106.0,217.0,154.0,2.0,479.0,2355.0,64.8
Howell,Floyd,1492.0,425.0,414.0,135.0,1.0,975.0,23.0,58.0,18.0,0.0,99.0,1074.0,72.0
East Lindale,Floyd,3398.0,437.0,1131.0,309.0,2.0,1879.0,99.0,252.0,132.0,0.0,483.0,2362.0,69.5
Mt Alto North,Floyd,5096.0,242.0,1203.0,355.0,6.0,1806.0,247.0,680.0,375.0,12.0,1314.0,3120.0,61.2
Mt Alto South,Floyd,3923.0,304.0,950.0,302.0,5.0,1561.0,235.0,467.0,247.0,0.0,949.0,2510.0,64.0
North Carolina,Floyd,1865.0,266.0,564.0,136.0,2.0,968.0,40.0,94.0,60.0,2.0,196.0,1164.0,62.4
Riverside,Floyd,826.0,156.0,212.0,50.0,4.0,422.0,36.0,67.0,25.0,0.0,128.0,550.0,66.6
East Rome,Floyd,4238.0,283.0,874.0,332.0,2.0,1491.0,166.0,598.0,301.0,2.0,1067.0,2558.0,60.4
North Rome,Floyd,3369.0,152.0,710.0,348.0,2.0,1212.0,150.0,386.0,338.0,5.0,879.0,2091.0,62.1
South Rome,Floyd,1600.0,48.0,133.0,55.0,1.0,237.0,143.0,246.0,185.0,2.0,576.0,813.0,50.8
Texas Valley,Floyd,762.0,263.0,221.0,65.0,6.0,555.0,14.0,25.0,29.0,0.0,68.0,623.0,81.8
Vanns Valley,Floyd,896.0,141.0,190.0,88.0,4.0,423.0,37.0,52.0,18.0,0.0,107.0,530.0,59.2
