Precinct,County,Registered Voters,Teri Anulewicz (I) (Dem)_Election Day Votes,Teri Anulewicz (I) (Dem)_Advanced Voting Votes,Teri Anulewicz (I) (Dem)_Absentee by Mail Votes,Teri Anulewicz (I) (Dem)_Provisional Votes,Teri Anulewicz (I) (Dem)_Choice Total,Total,calc_participation
Dobbins 01,Cobb,3024.0,297.0,491.0,407.0,5.0,1200.0,1200.0,39.7
Dobbins 02,Cobb,3984.0,482.0,1021.0,613.0,4.0,2120.0,2120.0,53.2
Marietta 1A,Cobb,4468.0,338.0,692.0,496.0,5.0,1531.0,1531.0,34.3
Marietta 5A,Cobb,3324.0,163.0,353.0,224.0,2.0,742.0,742.0,22.3
Marietta 6A,Cobb,2647.0,188.0,362.0,220.0,0.0,770.0,770.0,29.1
Marietta 7A,Cobb,3745.0,329.0,801.0,463.0,2.0,1595.0,1595.0,42.6
Oregon 03,Cobb,5713.0,58.0,53.0,35.0,2.0,148.0,148.0,2.6
Powers Ferry 01,Cobb,3504.0,15.0,29.0,32.0,0.0,76.0,76.0,2.2
Sewell Mill 03,Cobb,4759.0,123.0,223.0,174.0,1.0,521.0,521.0,10.9
Smyrna 1A,Cobb,4152.0,412.0,721.0,511.0,3.0,1647.0,1647.0,39.7
Smyrna 2A,Cobb,5539.0,461.0,1253.0,876.0,1.0,2591.0,2591.0,46.8
Smyrna 3A,Cobb,4573.0,364.0,1247.0,1006.0,3.0,2620.0,2620.0,57.3
Smyrna 3B,Cobb,2496.0,36.0,75.0,64.0,2.0,177.0,177.0,7.1
Smyrna 5A,Cobb,4319.0,144.0,205.0,201.0,2.0,552.0,552.0,12.8
Terrell Mill 01,Cobb,5816.0,271.0,442.0,228.0,6.0,947.0,947.0,16.3
