Precinct,County,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,calc_participation
ROCKBRIDGE B,Gwinnett,4177.0,373.0,1293.0,664.0,1.0,2331.0,2331.0,55.8
GARNERS B,Gwinnett,3178.0,234.0,988.0,552.0,2.0,1776.0,1776.0,55.9
GARNERS C,Gwinnett,2030.0,176.0,572.0,307.0,0.0,1055.0,1055.0,52.0
GARNERS D,Gwinnett,3490.0,132.0,457.0,344.0,0.0,933.0,933.0,26.7
CATES J,Gwinnett,3478.0,133.0,472.0,290.0,0.0,895.0,895.0,25.7
ROCKBRIDGE C,Gwinnett,5125.0,18.0,165.0,94.0,0.0,277.0,277.0,5.4
ROCKBRIDGE E,Gwinnett,4638.0,471.0,1322.0,789.0,1.0,2583.0,2583.0,55.7
GARNERS F,Gwinnett,1796.0,148.0,489.0,315.0,2.0,954.0,954.0,53.1
Marbut Elem,DeKalb,4234.0,325.0,1416.0,633.0,10.0,2384.0,2384.0,56.3
Princeton Elem,DeKalb,2376.0,165.0,847.0,446.0,0.0,1458.0,1458.0,61.4
Panola Road,DeKalb,2884.0,19.0,138.0,83.0,0.0,240.0,240.0,8.3
Redan Elem,DeKalb,3020.0,206.0,1156.0,584.0,3.0,1949.0,1949.0,64.5
Redan-Trotti Library,DeKalb,3990.0,274.0,1270.0,747.0,14.0,2305.0,2305.0,57.8
Redan Road,DeKalb,2932.0,229.0,903.0,512.0,1.0,1645.0,1645.0,56.1
Stephenson Middle,DeKalb,3822.0,301.0,1402.0,780.0,0.0,2483.0,2483.0,65.0
Wynbrooke Elem,DeKalb,3496.0,289.0,1325.0,824.0,6.0,2444.0,2444.0,69.9
