Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,calc_participation
Odum,Wayne,1260.0,302.0,504.0,92.0,0.0,898.0,14.0,31.0,32.0,0.0,77.0,975.0,77.4
Madray Springs,Wayne,1176.0,173.0,535.0,127.0,1.0,836.0,12.0,25.0,25.0,0.0,62.0,898.0,76.4
Oglethorpe,Wayne,1741.0,227.0,721.0,149.0,0.0,1097.0,21.0,80.0,47.0,0.0,148.0,1245.0,71.5
Screven,Wayne,1849.0,455.0,595.0,125.0,2.0,1177.0,54.0,73.0,49.0,0.0,176.0,1353.0,73.2
Empire,Wayne,1106.0,182.0,512.0,90.0,0.0,784.0,13.0,36.0,23.0,0.0,72.0,856.0,77.4
Red Hill,Wayne,1036.0,133.0,349.0,80.0,0.0,562.0,19.0,71.0,36.0,0.0,126.0,688.0,66.4
Altamaha,Wayne,2857.0,221.0,958.0,181.0,3.0,1363.0,66.0,229.0,97.0,0.0,392.0,1755.0,61.4
Gardi,Wayne,1123.0,282.0,339.0,110.0,2.0,733.0,18.0,23.0,30.0,0.0,71.0,804.0,71.6
VFW,Wayne,1145.0,20.0,100.0,37.0,0.0,157.0,81.0,280.0,131.0,1.0,493.0,650.0,56.8
Pine Street,Wayne,1140.0,58.0,262.0,73.0,0.0,393.0,65.0,188.0,68.0,0.0,321.0,714.0,62.6
Unity,Wayne,1905.0,177.0,616.0,172.0,0.0,965.0,57.0,188.0,99.0,0.0,344.0,1309.0,68.7
Rec Center,Wayne,1766.0,214.0,617.0,141.0,0.0,972.0,33.0,169.0,66.0,0.0,268.0,1240.0,70.2
