Precinct,County,Registered Voters,Tarece Johnson (Dem)_Election Day Votes,Tarece Johnson (Dem)_Advanced Voting Votes,Tarece Johnson (Dem)_Absentee by Mail Votes,Tarece Johnson (Dem)_Provisional Votes,Tarece Johnson (Dem)_Choice Total,Total,calc_participation
MARTINS A,Gwinnett,3303.0,394.0,878.0,473.0,3.0,1748.0,1748.0,52.9
PINCKNEYVILLE A,Gwinnett,2791.0,393.0,658.0,377.0,4.0,1432.0,1432.0,51.3
PINCKNEYVILLE B,Gwinnett,3485.0,355.0,843.0,434.0,4.0,1636.0,1636.0,46.9
PINCKNEYVILLE D,Gwinnett,2264.0,303.0,490.0,247.0,3.0,1043.0,1043.0,46.1
PINCKNEYVILLE E,Gwinnett,2184.0,296.0,548.0,309.0,5.0,1158.0,1158.0,53.0
PINCKNEYVILLE F,Gwinnett,2546.0,296.0,565.0,367.0,1.0,1229.0,1229.0,48.3
MARTINS D,Gwinnett,2402.0,315.0,504.0,329.0,0.0,1148.0,1148.0,47.8
PINCKNEYVILLE I,Gwinnett,2635.0,313.0,653.0,358.0,2.0,1326.0,1326.0,50.3
PINCKNEYVILLE J,Gwinnett,2613.0,315.0,685.0,303.0,2.0,1305.0,1305.0,49.9
PINCKNEYVILLE K,Gwinnett,3754.0,455.0,911.0,499.0,7.0,1872.0,1872.0,49.9
PINCKNEYVILLE N,Gwinnett,3819.0,528.0,1044.0,512.0,4.0,2088.0,2088.0,54.7
PINCKNEYVILLE O,Gwinnett,3359.0,348.0,888.0,404.0,4.0,1644.0,1644.0,48.9
MARTINS E,Gwinnett,6193.0,697.0,1547.0,737.0,3.0,2984.0,2984.0,48.2
PINCKNEYVILLE Q,Gwinnett,1915.0,326.0,462.0,248.0,1.0,1037.0,1037.0,54.2
MARTINS F,Gwinnett,2570.0,293.0,546.0,387.0,1.0,1227.0,1227.0,47.7
PINCKNEYVILLE S,Gwinnett,3374.0,421.0,742.0,524.0,2.0,1689.0,1689.0,50.1
DULUTH F,Gwinnett,6161.0,394.0,924.0,541.0,2.0,1861.0,1861.0,30.2
PINCKNEYVILLE U,Gwinnett,2090.0,307.0,505.0,353.0,5.0,1170.0,1170.0,56.0
BERKSHIRE L,Gwinnett,3265.0,425.0,810.0,498.0,0.0,1733.0,1733.0,53.1
PINCKNEYVILLE V,Gwinnett,1706.0,159.0,405.0,241.0,1.0,806.0,806.0,47.2
PINCKNEYVILLE W,Gwinnett,4253.0,241.0,498.0,343.0,3.0,1085.0,1085.0,25.5
MARTINS I,Gwinnett,4078.0,449.0,953.0,627.0,3.0,2032.0,2032.0,49.8
MARTINS J,Gwinnett,3923.0,543.0,1046.0,557.0,1.0,2147.0,2147.0,54.7
PINCKNEYVILLE Y,Gwinnett,3272.0,421.0,722.0,386.0,1.0,1530.0,1530.0,46.8
DULUTH K,Gwinnett,2786.0,275.0,638.0,348.0,1.0,1262.0,1262.0,45.3
