Precinct,County,Registered Voters,Spencer Frye (I) (Dem)_Election Day Votes,Spencer Frye (I) (Dem)_Advanced Voting Votes,Spencer Frye (I) (Dem)_Absentee by Mail Votes,Spencer Frye (I) (Dem)_Provisional Votes,Spencer Frye (I) (Dem)_Choice Total,Total,calc_participation
1A,Clarke,3017.0,423.0,590.0,543.0,0.0,1556.0,1556.0,51.6
1B,Clarke,3645.0,261.0,932.0,851.0,2.0,2046.0,2046.0,56.1
2A,Clarke,4341.0,530.0,810.0,722.0,0.0,2062.0,2062.0,47.5
2B,Clarke,5136.0,488.0,1203.0,737.0,3.0,2431.0,2431.0,47.3
3B,Clarke,4122.0,330.0,1105.0,591.0,0.0,2026.0,2026.0,49.2
5A,Clarke,3007.0,245.0,1025.0,690.0,0.0,1960.0,1960.0,65.2
5B,Clarke,3030.0,317.0,782.0,728.0,0.0,1827.0,1827.0,60.3
5C,Clarke,2053.0,163.0,814.0,492.0,1.0,1470.0,1470.0,71.6
5D,Clarke,3087.0,368.0,733.0,495.0,3.0,1599.0,1599.0,51.8
8A,Clarke,3319.0,266.0,780.0,781.0,3.0,1830.0,1830.0,55.1
