Precinct,County,Registered Voters,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_Choice Total,Total,calc_participation
Riddleville,Washington,561.0,135.0,108.0,47.0,1.0,291.0,291.0,51.9
Warthen,Washington,742.0,189.0,124.0,95.0,0.0,408.0,408.0,55.0
Tennille,Washington,2512.0,294.0,581.0,189.0,1.0,1065.0,1065.0,42.4
Oconee,Washington,581.0,124.0,90.0,44.0,0.0,258.0,258.0,44.4
Harrison,Washington,1005.0,238.0,226.0,80.0,2.0,546.0,546.0,54.3
Davisboro,Washington,814.0,182.0,165.0,84.0,0.0,431.0,431.0,52.9
Sandersville,Washington,6221.0,510.0,1631.0,732.0,0.0,2873.0,2873.0,46.2
Deepstep,Washington,554.0,183.0,91.0,47.0,1.0,322.0,322.0,58.1
Stapleton Crossroads,Jefferson,441.0,86.0,113.0,36.0,2.0,237.0,237.0,53.7
Matthews,Jefferson,621.0,187.0,110.0,58.0,1.0,356.0,356.0,57.3
Wrens,Jefferson,2870.0,390.0,601.0,195.0,1.0,1187.0,1187.0,41.4
Louisville,Jefferson,3899.0,233.0,1028.0,267.0,3.0,1531.0,1531.0,39.3
Wadley,Jefferson,1906.0,176.0,319.0,97.0,0.0,592.0,592.0,31.1
Bartow,Jefferson,531.0,87.0,100.0,28.0,0.0,215.0,215.0,40.5
Stapleton,Jefferson,678.0,173.0,99.0,40.0,0.0,312.0,312.0,46.0
Avera,Jefferson,388.0,133.0,57.0,28.0,1.0,219.0,219.0,56.4
Oak Park,Emanuel,686.0,255.0,146.0,45.0,0.0,446.0,446.0,65.0
Cross-Green,Emanuel,241.0,50.0,40.0,19.0,0.0,109.0,109.0,45.2
Swainsboro,Emanuel,6988.0,830.0,1985.0,680.0,1.0,3496.0,3496.0,50.0
Summertown,Emanuel,504.0,153.0,113.0,40.0,0.0,306.0,306.0,60.7
Stillmore,Emanuel,608.0,163.0,107.0,33.0,0.0,303.0,303.0,49.8
Blundale,Emanuel,756.0,225.0,248.0,68.0,0.0,541.0,541.0,71.6
Canoochee,Emanuel,681.0,248.0,148.0,42.0,0.0,438.0,438.0,64.3
Garfield,Emanuel,489.0,211.0,83.0,32.0,0.0,326.0,326.0,66.7
Nunez,Emanuel,384.0,128.0,87.0,23.0,0.0,238.0,238.0,62.0
Twin City,Emanuel,1551.0,349.0,416.0,125.0,0.0,890.0,890.0,57.4
Adrian,Emanuel,827.0,243.0,165.0,86.0,0.0,494.0,494.0,59.7
Jack Strickland Comm Center,Candler,6300.0,544.0,2611.0,546.0,0.0,3701.0,3701.0,58.7
15361 Lyons,Toombs,0.0,384.0,1185.0,329.0,0.0,1898.0,1898.0,
39 Newbranch,Toombs,0.0,324.0,493.0,122.0,0.0,939.0,939.0,
43 Cedar Crossing,Toombs,0.0,349.0,430.0,108.0,0.0,887.0,887.0,
513 VPD,Toombs,0.0,614.0,1977.0,640.0,3.0,3234.0,3234.0,
514 STIALC,Toombs,0.0,420.0,1213.0,389.0,3.0,2025.0,2025.0,
