Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
131,McDuffie,1172.0,67.0,265.0,164.0,0.0,496.0,29.0,119.0,71.0,0.0,219.0,715.0,61.0
132,McDuffie,1507.0,89.0,540.0,109.0,0.0,738.0,33.0,283.0,92.0,0.0,408.0,1146.0,76.0
133A,McDuffie,1278.0,113.0,323.0,89.0,0.0,525.0,31.0,201.0,72.0,0.0,304.0,829.0,64.9
133B,McDuffie,1959.0,155.0,516.0,130.0,0.0,801.0,90.0,385.0,103.0,0.0,578.0,1379.0,70.4
134,McDuffie,1908.0,134.0,486.0,264.0,0.0,884.0,38.0,255.0,123.0,0.0,416.0,1300.0,68.1
135,McDuffie,3089.0,191.0,951.0,258.0,0.0,1400.0,68.0,477.0,172.0,0.0,717.0,2117.0,68.5
136,McDuffie,1940.0,147.0,367.0,216.0,0.0,730.0,45.0,131.0,124.0,0.0,300.0,1030.0,53.1
137,McDuffie,1202.0,64.0,413.0,93.0,0.0,570.0,30.0,251.0,82.0,0.0,363.0,933.0,77.6
139,McDuffie,978.0,74.0,290.0,86.0,0.0,450.0,30.0,152.0,70.0,0.0,252.0,702.0,71.8
