Precinct,County,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,calc_participation
Ashburn,Turner,3509.0,159.0,840.0,146.0,0.0,1145.0,263.0,580.0,224.0,1.0,1068.0,2213.0,63.1
Sycamore,Turner,1609.0,125.0,826.0,82.0,1.0,1034.0,26.0,81.0,27.0,0.0,134.0,1168.0,72.6
Rebecca,Turner,464.0,113.0,150.0,26.0,0.0,289.0,12.0,15.0,15.0,0.0,42.0,331.0,71.3
Gray,Jones,0.0,252.0,1111.0,220.0,0.0,1583.0,44.0,266.0,161.0,0.0,471.0,2054.0,
Hawkins,Jones,0.0,247.0,513.0,129.0,0.0,889.0,192.0,634.0,487.0,0.0,1313.0,2202.0,
Ethridge,Jones,0.0,176.0,533.0,123.0,0.0,832.0,75.0,197.0,131.0,0.0,403.0,1235.0,
Clinton,Jones,0.0,288.0,844.0,180.0,2.0,1314.0,58.0,237.0,150.0,0.0,445.0,1759.0,
Roberts,Jones,0.0,436.0,569.0,183.0,0.0,1188.0,127.0,280.0,179.0,1.0,587.0,1775.0,
Davidson,Jones,0.0,356.0,488.0,104.0,1.0,949.0,40.0,81.0,54.0,0.0,175.0,1124.0,
Pope,Jones,0.0,305.0,509.0,106.0,1.0,921.0,112.0,179.0,124.0,0.0,415.0,1336.0,
Barron,Jones,0.0,271.0,379.0,95.0,0.0,745.0,65.0,104.0,96.0,0.0,265.0,1010.0,
Sanders,Jones,0.0,93.0,12.0,10.0,0.0,115.0,12.0,5.0,8.0,0.0,25.0,140.0,
Finney,Jones,0.0,584.0,705.0,205.0,1.0,1495.0,81.0,234.0,189.0,0.0,504.0,1999.0,
West Berrien,Berrien,999.0,330.0,269.0,88.0,1.0,688.0,18.0,28.0,22.0,0.0,68.0,756.0,75.7
Ray City,Berrien,1946.0,327.0,582.0,135.0,1.0,1045.0,74.0,77.0,59.0,0.0,210.0,1255.0,64.5
Nashville,Berrien,6079.0,553.0,2410.0,409.0,2.0,3374.0,98.0,331.0,173.0,1.0,603.0,3977.0,65.4
Enigma,Berrien,1111.0,315.0,236.0,75.0,4.0,630.0,38.0,21.0,21.0,0.0,80.0,710.0,63.9
Alapaha,Berrien,1140.0,284.0,260.0,67.0,1.0,612.0,79.0,69.0,38.0,0.0,186.0,798.0,70.0
Shaw,Colquitt,3487.0,77.0,280.0,79.0,0.0,436.0,337.0,418.0,307.0,0.0,1062.0,1498.0,43.0
Moultrie,Colquitt,4809.0,346.0,1182.0,321.0,0.0,1849.0,213.0,530.0,305.0,1.0,1049.0,2898.0,60.3
Autreyville,Colquitt,1512.0,260.0,405.0,74.0,2.0,741.0,45.0,98.0,46.0,0.0,189.0,930.0,61.5
Bridgecreek,Colquitt,1191.0,269.0,438.0,83.0,2.0,792.0,21.0,37.0,31.0,0.0,89.0,881.0,74.0
Crosland,Colquitt,289.0,85.0,32.0,17.0,0.0,134.0,20.0,15.0,8.0,1.0,44.0,178.0,61.6
Doerun,Colquitt,619.0,150.0,122.0,22.0,0.0,294.0,69.0,29.0,27.0,0.0,125.0,419.0,67.7
Funston,Colquitt,1030.0,277.0,267.0,67.0,3.0,614.0,29.0,44.0,27.0,0.0,100.0,714.0,69.3
Hamilton,Colquitt,784.0,266.0,198.0,45.0,0.0,509.0,14.0,25.0,13.0,0.0,52.0,561.0,71.6
Hartsfield,Colquitt,408.0,170.0,85.0,39.0,1.0,295.0,6.0,7.0,7.0,0.0,20.0,315.0,77.2
Hopewell,Colquitt,1670.0,267.0,601.0,115.0,2.0,985.0,34.0,84.0,44.0,1.0,163.0,1148.0,68.7
Lee,Colquitt,1094.0,210.0,279.0,73.0,0.0,562.0,28.0,49.0,22.0,0.0,99.0,661.0,60.4
Millcreek,Colquitt,422.0,112.0,132.0,39.0,0.0,283.0,5.0,10.0,8.0,0.0,23.0,306.0,72.5
Monk,Colquitt,1555.0,343.0,443.0,93.0,0.0,879.0,31.0,71.0,57.0,0.0,159.0,1038.0,66.8
Murphy,Colquitt,973.0,192.0,427.0,59.0,0.0,678.0,11.0,44.0,27.0,0.0,82.0,760.0,78.1
Norman Park,Colquitt,2586.0,401.0,679.0,152.0,0.0,1232.0,87.0,145.0,114.0,0.0,346.0,1578.0,61.0
Robinson,Colquitt,860.0,228.0,200.0,51.0,0.0,479.0,35.0,32.0,13.0,0.0,80.0,559.0,65.0
Thigpen,Colquitt,251.0,97.0,45.0,14.0,0.0,156.0,7.0,3.0,6.0,0.0,16.0,172.0,68.5
Tyty,Colquitt,543.0,221.0,74.0,32.0,0.0,327.0,14.0,10.0,6.0,0.0,30.0,357.0,65.7
Warrior,Colquitt,971.0,272.0,246.0,61.0,0.0,579.0,31.0,26.0,14.0,0.0,71.0,650.0,66.9
Rochelle North 1,Wilcox,558.0,25.0,50.0,14.0,0.0,89.0,92.0,88.0,39.0,0.0,219.0,308.0,55.2
