Precinct,County,Registered Voters,Jesse Houle_Election Day Votes,Jesse Houle_Advanced Voting Votes,Jesse Houle_Absentee by Mail Votes,Jesse Houle_Provisional Votes,Jesse Houle_Choice Total,Chad Lowery_Election Day Votes,Chad Lowery_Advanced Voting Votes,Chad Lowery_Absentee by Mail Votes,Chad Lowery_Provisional Votes,Chad Lowery_Choice Total,Total,calc_participation
6A,Clarke,3780.0,158.0,516.0,486.0,2.0,1162.0,194.0,552.0,402.0,0.0,1148.0,2310.0,61.1
6B,Clarke,3865.0,157.0,506.0,562.0,0.0,1225.0,188.0,457.0,390.0,0.0,1035.0,2260.0,58.5
6D,Clarke,1701.0,114.0,376.0,310.0,0.0,800.0,89.0,166.0,123.0,0.0,378.0,1178.0,69.3
