Precinct,County,Registered Voters,Karen Mathiak (I) (Rep)_Election Day Votes,Karen Mathiak (I) (Rep)_Advanced Voting Votes,Karen Mathiak (I) (Rep)_Absentee by Mail Votes,Karen Mathiak (I) (Rep)_Provisional Votes,Karen Mathiak (I) (Rep)_Choice Total,William Harris (Dem)_Election Day Votes,William Harris (Dem)_Advanced Voting Votes,William Harris (Dem)_Absentee by Mail Votes,William Harris (Dem)_Provisional Votes,William Harris (Dem)_Choice Total,Total,calc_participation
Woolsey,Fayette,2542.0,328.0,941.0,364.0,0.0,1633.0,43.0,174.0,186.0,0.0,403.0,2036.0,80.1
Harps Crossing,Fayette,1646.0,151.0,492.0,200.0,2.0,845.0,54.0,226.0,142.0,1.0,423.0,1268.0,77.0
Murphy,Fayette,3224.0,161.0,761.0,343.0,2.0,1267.0,107.0,695.0,409.0,1.0,1212.0,2479.0,76.9
Antioch,Fayette,1956.0,253.0,460.0,180.0,1.0,894.0,102.0,274.0,191.0,0.0,567.0,1461.0,74.7
South Hampton,Henry,5476.0,224.0,1297.0,222.0,1.0,1744.0,260.0,1231.0,547.0,0.0,2038.0,3782.0,69.1
North Hampton,Henry,7156.0,230.0,1358.0,320.0,0.0,1908.0,343.0,1765.0,819.0,0.0,2927.0,4835.0,67.6
Mt Carmel,Henry,5335.0,36.0,185.0,61.0,0.0,282.0,89.0,699.0,344.0,0.0,1132.0,1414.0,26.5
5,Spalding,3715.0,25.0,53.0,42.0,2.0,122.0,49.0,115.0,55.0,0.0,219.0,341.0,9.2
8,Spalding,1789.0,257.0,487.0,205.0,18.0,967.0,92.0,135.0,99.0,7.0,333.0,1300.0,72.7
10,Spalding,1981.0,277.0,481.0,161.0,10.0,929.0,134.0,211.0,140.0,12.0,497.0,1426.0,72.0
12,Spalding,2163.0,439.0,616.0,218.0,25.0,1298.0,57.0,112.0,106.0,4.0,279.0,1577.0,72.9
13,Spalding,2586.0,570.0,593.0,232.0,44.0,1439.0,63.0,104.0,66.0,5.0,238.0,1677.0,64.8
14,Spalding,1985.0,372.0,291.0,138.0,19.0,820.0,115.0,118.0,102.0,7.0,342.0,1162.0,58.5
16,Spalding,4596.0,190.0,445.0,198.0,19.0,852.0,328.0,685.0,634.0,46.0,1693.0,2545.0,55.4
19,Spalding,2664.0,389.0,639.0,234.0,1.0,1263.0,125.0,203.0,160.0,5.0,493.0,1756.0,65.9
