Precinct,County,Registered Voters,Blake Elsberry (Rep)_Election Day Votes,Blake Elsberry (Rep)_Advanced Voting Votes,Blake Elsberry (Rep)_Absentee by Mail Votes,Blake Elsberry (Rep)_Provisional Votes,Blake Elsberry (Rep)_Choice Total,Jimmy Holbrook (Dem)_Election Day Votes,Jimmy Holbrook (Dem)_Advanced Voting Votes,Jimmy Holbrook (Dem)_Absentee by Mail Votes,Jimmy Holbrook (Dem)_Provisional Votes,Jimmy Holbrook (Dem)_Choice Total,Total,calc_participation
Coldwater,Chattooga,248.0,20.0,62.0,15.0,0.0,97.0,17.0,44.0,26.0,0.0,87.0,184.0,74.2
Dirtseller,Chattooga,186.0,31.0,33.0,4.0,0.0,68.0,16.0,28.0,7.0,0.0,51.0,119.0,64.0
Haywood,Chattooga,169.0,60.0,20.0,3.0,0.0,83.0,21.0,3.0,5.0,1.0,30.0,113.0,66.9
Lyerly,Chattooga,934.0,148.0,217.0,43.0,2.0,410.0,100.0,95.0,39.0,0.0,234.0,644.0,69.0
Trion,Chattooga,3496.0,494.0,986.0,205.0,1.0,1686.0,157.0,325.0,171.0,0.0,653.0,2339.0,66.9
Summerville,Chattooga,5155.0,454.0,1375.0,319.0,1.0,2149.0,239.0,661.0,363.0,1.0,1264.0,3413.0,66.2
Teloga,Chattooga,593.0,69.0,208.0,57.0,0.0,334.0,24.0,59.0,30.0,0.0,113.0,447.0,75.4
Dirttown,Chattooga,897.0,208.0,228.0,55.0,0.0,491.0,71.0,71.0,57.0,0.0,199.0,690.0,76.9
Seminole,Chattooga,138.0,29.0,37.0,10.0,0.0,76.0,7.0,10.0,8.0,0.0,25.0,101.0,73.2
Subligna,Chattooga,489.0,141.0,112.0,47.0,1.0,301.0,33.0,19.0,17.0,0.0,69.0,370.0,75.7
Alpine,Chattooga,872.0,193.0,180.0,50.0,0.0,423.0,95.0,80.0,45.0,0.0,220.0,643.0,73.7
Cloudland,Chattooga,378.0,55.0,83.0,27.0,0.0,165.0,35.0,62.0,28.0,0.0,125.0,290.0,76.7
Pennville,Chattooga,588.0,61.0,165.0,38.0,0.0,264.0,18.0,53.0,15.0,0.0,86.0,350.0,59.5
